salary,company,jobdescriptionlink,jobname,jobdescription,location
10000-14999/月,广州明雄网络科技有限公司,http://jobs.51job.com/guangzhou-thq/77912465.html?s=0,Python工程师,职位描述：1.负责公司 Web 项目以及 REST API 的开发；2.负责公司公众号相关项目的研发；3.后台相关数据分析；任职要求：1. 精通 Linux 下 Python Web 开发，有 Django 开发经验优先，有 REST API 开发经验优先；2. 熟悉 MySQL，有 MongoDB 经验优先；3. 熟悉 Web 前端（HTML/CSS/JS），有 jQuery/Bootstrap 经验优先；4. 有自己的上线 Web 作品经验优先；5. 有 git 使用经验优先；6.有第三方开放平台 API （如果微博/微信/百度等）使用经验优先。福利待遇：1、工作环境：舒适的开放式办公环境，交通便利。2、福利制度：为员工缴纳养老保险、医疗保险、工伤保险、失业保险、生育保险。3、贺礼：五一、端午、中秋、春节等传统节日公司发放礼品礼金或购物卡，生日礼金，春节派发开门利是。4、员工活动：不定期的开展国内外旅游、聚餐、体育运动等相关活动。5、晋升空间：为员工提供专业指导并为优异人才提供快速晋升通道。职能类别：高级软件工程师举报分享,广州-天河区
8000-12000/月,广州云藏信息技术有限公司,http://jobs.51job.com/guangzhou-yxq/75706104.html?s=0,Python程序员,职位描述：岗位要求1、3年以上后台开发经验；2、精通Python，2年以上Python后台开发经验，有良好的编码习惯；3、精通Python服务端编程，精通网络编程；4、熟悉Django/Tornado等web开发框架；5、熟悉大型分布式系统设计与开发，并具备MQ、NoSQL实战经验；6、熟悉Unix/Linux操作系统下的开发，部署，维护等工作；7、具备良好的分析解决问题能力和团队合作能力；8、具有良好的学习能力，对互联网的新技术有很强的求知欲望；9、有激情，热爱Python，关注用户体验。岗位职责：1、 网站后台的程序开发；2、负责接口对接与设计开发；3、负责数据库架构设计，保持数据库高效运行；4、能够独立整理产品需求，完成代码编写；5、维护软件使之保持可用性和稳定性；6、及时向公司反馈需求和技术上的问题，提供合理化建议并积极推动问题解决。职能类别：软件工程师关键字：Python程序员工程师举报分享,广州-越秀区
8000-15000/月,广州摩翼信息科技有限公司,http://jobs.51job.com/guangzhou/76835011.html?s=0,python 软件工程师（桌面软件）,职位描述：岗位职责：1、参与项目的需求分析；2、负责模块的设计、编码、测试以及相关文档的编写；3、参与系统稳定性、性能和扩展性设计和测试。任职要求：1、本科及本科以上学历；2、学习能力强，习惯阅读英文技术文档；3、至少有一年的工作python GUI经验；4、富有团队合作精神，乐于接受挑战，能承受工作压力；5、熟悉PyQt/WxPython中至少一种；6、熟悉版本控制系统，如SVN、Git。职能类别：软件工程师举报分享,广州
10000-20000/月,广州西麦科技股份有限公司,http://jobs.51job.com/guangzhou/77608424.html?s=0,python工程师,职位描述：岗位职责：1、负责云计算后台开发工作；2、根据项目功能需求，分析并给出技术实现方案；3、编写项目开发相关文档。任职要求：1、熟悉python编程，有丰富的项目开发经验。2、了解openstack架构及开发流程者优先。3、有较强的学习能力。职能类别：软件工程师系统架构设计师举报分享,广州
8000-9999/月,广州淘通科技股份有限公司,http://jobs.51job.com/guangzhou-thq/74412446.html?s=0,开发工程师(Python),"职位描述：职位描述：1.负责运维系统开发2.设计开发高可靠性系统架构和运维工具，提高运维工作效率任职要求：1.具有1年以上互联网领域相关项目架构设计工作经验2.熟练掌握CSS、Javascript等Web页面技术, 熟悉bootstrap者优先3.熟悉Python, 熟悉web2py框架4.熟悉Linux操作系统者优先职能类别：标准化工程师举报分享",广州-天河区
8000-20000/月,广州市铂云网络科技有限公司,http://jobs.51job.com/guangzhou-lgq/75479692.html?s=0,Python后台开发工程师,"职位描述：职位描述：1、负责公司核心系统及框架的设计，开发，维护，服务端相关组件开发，具备独立实现能力；2、负责搭建系统开发、生产环境，完成项目开发工作；3、负责数据模型的设计，数据库优化，数据分析及数据可视化组件编写；4、相关文档的编写。技术能力要求：1、大专或以上学历，有良好的计算机素养，至少 2 年 Linux 系统下的开发经验；2、有较强的编码和调试能力，并具有良好、规范的编程习惯和文档编写习惯；3、熟练掌握Python，熟悉 C/C++，Java 等语言中的至少一种，了解Python 的优化，熟悉 C 语言编写 Python 模块者优先；4、有数据库设计经验，熟悉MySQL；5、熟悉Web 开发流程，熟悉django/html5/css3/js, 了解mvc开发模式，了解nginx, tornado；6、熟悉 Linux，熟练使用git，能够进行系统安装部署；综合能力要求：1、具备快速学习能力，善于沟通交流，出色的执行力，强烈的责任感，具备较强的英语阅读能力；2、具有创新精神、独立工作能力和团队协作精神，工作踏实勤恳，能够承受工作压力，对新技术敏感；加分项：1、有分布式、高并发服务器系统设计和架构经验2、有海量数据处理、存储、分析及相关系统搭建经验3、有较强的linux系统管理经验，具备linux系统调优能力，具备较强的 shell 脚本编写能力4、熟练使用多种js库5、熟悉mongodb, redis中的一种或多种职能类别：软件工程师互联网软件开发工程师举报分享",广州-萝岗区
10000-25000/月,广东丰德科技有限公司,http://jobs.51job.com/guangzhou/70979294.html?s=0,python开发工程师,"职位描述：岗位职责：根据需求分析，负责运维管理平台的开发。任职要求：1. 大专以上学历，具备2年以上运维系统开发经验，熟悉python及其常用框架（如：Django/flask）,熟悉python的多线程、协程及ORM模型开发2. 熟悉一些运维工具的使用及其开发接口，开源监控工具如：zabbix/nagios/ganglia，开源管理工具如：ansible/saltstack，日志管理工具如：ELK3. 熟悉关系型、非关系型数据库开发，包括但不限于mysql，redis，mongodb，及常用开源消息队列服务组件rabbitMQ/zeroMQ等职能类别：高级软件工程师关键字：python软件工程师运维举报分享",广州
2500-4000/月,广东凯捷商业数据处理服务有限公司,http://jobs.51job.com/foshan/75830253.html?s=0,Python开发实习生,职位描述：职位描述：1.	使用python语言进行产品服务端的开发以及维护工作；2.	学习与研究新技术以满足客户的要求。职位要求：1.	计算机相关专业，大专以上学历；2.	熟悉Python编程语言；了解数据库及SQL以及基本的优化与设计原则；3.	具有一定的抗压能力和一定的英文文档阅读能力；4.	能独立地完成工作，并具有良好的团队合作能力。职能类别：软件工程师需求工程师关键字：PythonSQLJAVA举报分享,异地招聘
4000+ /月,广州分给网络科技有限公司,http://jobs.51job.com/guangzhou-thq/44784073.html?s=0,网络游戏python程序员（3名）,职位描述：岗位要求：1、计算机软件工程相关专业2、有python开发经验3、有C/C++基础4、熟悉MySQL数据库编程职能类别：系统架构设计师举报分享,广州-天河区
6000-12000/月,广州扬盛计算机软件有限公司,http://jobs.51job.com/guangzhou-pyq/62464098.html?s=0,python程序员,"职位描述：职位职责:负责公司产品的后端的开发或升级任务;负责公司产品上线的部署和维护.任职要求:熟悉 Python 语言;熟悉 Django;有良好的编码习惯;人品正直诚实, 善于沟通, 能够独立承受工作压力;有实际项目开发经验者优先;注：工作时间：8个小时5天工作制；公司拥有完善的员工保险（包括养老、医疗、失业、工伤及生育保险），购买公积金；提供国家规定的法定节假日、婚假、病假、产假、丧假以及带薪年假；公司倡导健康丰富的业余生活，每月组织至少一次外出活动；年终享受双薪、带薪休假等福利。职能类别：软件工程师互联网软件开发工程师关键字：PythonDjango举报分享",广州-番禺区
6000-7999/月,广州凡拓数字创意科技股份有限公司,http://jobs.51job.com/guangzhou/77516411.html?s=0,python开发工程师,职位描述：岗位职责：1、根据开发计划，设计软件模块，完成软件模块源代码编写，实现开发需求规定的功能；2、根据开发需求，完成开发文档，提出模块设计规划；3、根据开发文档，制定详细的开发计划。任职要求：1、大专及以上学历，计算机相关专业，1年以上python开发经验；2、熟练使用python的web框架设计网站，例如diango等；3、熟悉linux操作系统，了解linux下shell编程，熟练使用git；4、熟悉主流web服务器的配置管理与性能优化；5、熟练使用mysql、redis等数据库，精通SQL，具备SQL开发经验；6、独立完成工作，能够承受工作压力。职能类别：软件工程师举报分享,广州
6000-7999/月,艾美美容中心,http://jobs.51job.com/guangzhou/70714557.html?s=0,python开发工程师,职位描述：岗位职责：1.参与内部业务系统的开发与维护2.编写相应的技术开发文档3.进行源代码的单元测试和质量控制任职要求：1. 熟悉python，1年以上的项目开发经验（优秀应届毕业生可考虑）2. 熟悉Linux操作系统，了解 Git、SVN等代码管理工具3. 熟悉postgresql、MySQL数据库5. 良好的编码习惯，对服务器架构有一定了解，具备良好的分析解决问题能力6. 具有良好的学习能力以及理解、分析和解决问题的能力，乐于分享，具有团队协作精神7. 熟悉Ｏdoo开发者，优先考虑8. 计算机相关专业大专或以上学历其它要求1. 粤语交流能力2. 对编程有很大的热情职能类别：ERP技术开发关键字：python开发工程师举报分享,广州
8000-15000/月,广州昊动网络科技有限公司,http://jobs.51job.com/guangzhou-thq/76797629.html?s=0,Python工程师,"职位描述：工作职责：1、负责App后端接口的功能设计、开发和优化；2、完成数据统计与分析的工作；3、按照项目计划，完成开发任务。岗位要求:1、1-2年以上的Python开发经验；2.至少熟悉一种Python Web框架，如Django、Tornado、Flask等；3.熟悉 MySQL，有 MongoDB开发经验者优先；4.熟悉 Web 前端（HTML/CSS/JS），有 jQuery/Bootstrap 经验者优先；5.有除 Python 外，任一主流语言开发经验（C/C++/C#/Java/PHP)等；6.对数据抓取感兴趣,精通网页数据抓取的同学优先7.能按时完成安排的工作，拥有独立解决问题的能力职能类别：高级软件工程师关键字：pythonapp举报分享",广州-天河区
6000-12000/月,广州游众软件科技有限公司,http://jobs.51job.com/guangzhou-thq/77076941.html?s=0,python服务端,职位描述：岗位职责：1、设计和开发游戏服务端；2、服务端相关辅助工具的开发；3、根据开发进度和任务分配，完成相应模块软件的设计、开发、编程任务；4、进行程序单元、功能的测试，查出软件存在的缺陷并保证其质量。任职要求：1、有1年以上服务端开发经验，至少熟悉一类服务端开发语言，C++、Java、Python等；2、有Python开发经验者优先，有PHP开发经验者优先；3、熟悉MySQL数据库，对MySQL优化有一定的经验；4、喜欢编程，追求代码质量，热爱游戏；5、独立完成工作，能承受工作压力；6、良好的沟通能力、学习能力。职能类别：多媒体/游戏开发工程师互联网软件开发工程师关键字：服务端游戏后端C++pythonPHP举报分享,广州-天河区
