salary,company,jobcont,jobname
8000-15000/月,广州华工弈高科技有限公司,"职位描述：职位描述：1、负责系统及相关产品需求分析及架构设计；2、对产品的整体系统架构负责，对产品的系统安全性设计负责，开发及相关设计文档编写；3、负责相关请求的技术分析，负责制订相关的技术解决方案；4、参与制定设计及实现规范，指导设计、实现及部署工作；5、配合项目经理进行技术决策，进行技术风险评估；6、负责对软件开发团队的技术指导。岗位要求：1、3年以上工作经验，具有独立承担超过2年以上的软件项目系统分析和架构设计经验，有成功案例、大型系统软件架构设计经验优先；2、掌握软件工程理论，精通至少一种软件工程方法，有较强的系统分析能力；3、熟悉.net及JAVA体系架构，精通主流的开源框架；4、精通Oracle,sqlServer等数据库的应用，有大型MIS系统构建经验，具有相关应用开发经验及数据库规划能力；5、了解最新的技术及发展趋向，网络知识经验丰富，懂得怎样衡量各种设计方法的利弊，懂得平衡各种开发局限的制约；其他要求：极强的文档撰写能力；逻辑分析能力、学习能力和创新能力强，具有团队合作精神，良好的语言表达及沟通能力。职能类别：系统架构设计师举报分享",系统架构师
8000-10000/月,广东融讯信息科技有限公司,"职位描述：职位描述：①、配合策划经理对公司产品以及公司基础研究项目进行需求分析；②、根据公司JAVA产品以及公司JAVA基础研究项目特征进行技术架构选型，并搭建JAVA系统架构，具备JAVA系统战略规划的能力，同时需要对GIS应用和安卓APP应用平台架构有规划能力；③、负责JAVA系统架构设计，协调JAVA高级软件工程师和Android高级软件工程师一起进行核心模块的详细设计；④、按时完成研发任务，按照质量要求进行代码开发；⑤、制定项目性能相关指标，参与性能测试和主导性能优化工作，确保系统架构的性能符合要求；⑥、配合项目管理部优化相关开发流程与规范。岗位要求：①、深厚扎实的JAVA语言功底，能独立处理研发JAVA产品的架构设计和代码编写；②、熟练掌握J2SE、J2EE技术，熟练使用第三方开源框架或自己研发的JAVA开发框架三个以上（如：Query、Spring、Spring MVC、Spring Security、lucene(or solr)、Mybaitis、Hadoop、HBASE等开源框架），并能熟练应用于互联网、移动互联网和桌面软件。深度掌握多个框架，并能随意组合者优先，对GIS相关的软件有实际架构经验者更佳；③、在以往JAVA开发中有丰富的功能模块积累，可以与研发团队分享并培训研发团队快速上手应用于产品研发；④、具备良好的面向对象的设计能力，熟悉设计模式，具备代码重构等相关技能；⑤、熟悉安全加密、大规模并发、多线性及高性能的设计与编码及性能调优；⑥、熟悉SQL语法及oracle、mysql或sql server数据库应用开发；⑦、了解手机开发流程,了解IOS和ANDRIOD基本开发；⑧、熟悉Linux操作系统，熟悉maven、svn等工具⑨、有CMMI 3 级以上企业工作经验优先。职能类别：系统架构设计师系统工程师举报分享",中级 JAVA系统架构师
10000-14999/月,广州久昌信息科技有限公司,职位描述：岗位职责：1、主要负责eHR、OA等相关系统开发，参与系统后期架构的设计；2、按规范编写前后端程序代码及存储过程；3、系统设计文档及其他相关文档编写；4、进行程序单元及功能测试，查出软件存在的缺陷并保证质量；5、指导软件工程师的工作，并主持代码审查；6、维护软件以保持可用性和稳定性。岗位要求：1、计算机相关专业，三年以上j2EE项目开发经验;2、扎实的JAVA基础，熟悉Jsp/Servlet，Spring ，Sping MVC，Mybatis等框架;能独立完成一个中小型项目的开发。3、熟悉HTML，CSS，JavaScript，JQuery等前端开发技术;4、熟悉MySQL或Oracle等关系数据库技术，能编写存储过程；5、良好的学习能力、沟通能力、团队合作精神;6、有HR或OA系统开发经验优先考虑;岗位特点：1.开发企业级的SAAS产品，专注把一个软件产品做到完美2.扁平化管理，领导和同事都容易相处3.尊重人才，尊重个性，给你发光的机会4.周末双休，试用期购买社保；享受每年5天以上带薪年假；加班可以调休5.良好的学习氛围，每周有一次内部培训的机会6.不定期组织公司或部门活动（聚餐、爬山、K歌、烧烤)，发放节日礼品；工作地址天河区林和西路9号耀中广场B座3213室（林和西地铁A出口）职能类别：高级软件工程师系统架构设计师关键字：软件开发软件工程师java高级程序员架构师举报分享,java程序员 高级J2EE软件工程师 架构师 软件开发 研发
20000-30000/月,广州易达建信科技开发有限公司,"职位描述：1、负责架构设计、方案讨论和技术路线研究，编写系统总体架构、业务架构、数据架构及技术架构文档；2、负责系统框架搭建、编写框架开发指南指导开发人员熟悉并使用框架进行开发；3、根据系统设计,开发文档的撰写。岗位要求：职位描述1、负责架构设计、方案讨论和技术路线研究，编写系统总体架构、业务架构、数据架构及技术架构文档；2、负责系统框架搭建、编写框架开发指南指导开发人员熟悉并使用框架进行开发；3、根据系统设计,开发文档的撰写。岗位要求：①、深厚扎实的JAVA语言功底，能独立处理研发JAVA产品的架构设计和代码编写；②、熟练掌握J2SE、J2EE技术，熟练使用第三方开源框架或自己研发的JAVA开发框架三个以上（如：Spring、Spring MVC、Spring Security、lucene(or solr)、Mybaitis、Hibernate等开源框架），并能熟练应用于互联网、移动互联网。深度掌握多个框架，并能随意组合者优先；③、在以往JAVA开发中有丰富的功能模块积累，对于研究新技术有浓厚兴趣，善于总结沉淀，乐于和人分享，一起成长；④、具备良好的面向对象的设计能力，熟悉设计模式，具备代码重构等相关技能；⑤、熟悉安全加密、大规模并发、多线性及高性能的设计与编码及性能调优；⑥、熟悉SQL语法及oracle、mysql或sql server数据库应用开发；⑦、了解手机开发流程,熟悉HTML5开发；⑧、熟悉Linux操作系统，熟悉maven、svn等工具。职能类别：系统架构设计师高级软件工程师关键字：java举报分享",架构师
12000-18000/月,广州鑫燕网络科技有限公司,职位描述：工作职责：1、负责公司产品开发；2、参与项目需求分析、设计与实现、相关单元测试等工作；3、在开发中发现存在的问题，积极参与功能与技术架构的改进。任职要求：1、2年以上PHP经验，独立完整开发项目，熟悉MVC模式开发，熟悉LNMP（Linux+Nginx+Mysql+PHP）运行架构，有Laravel 4使用经验者优先；2、熟练掌握相关web技术，具有ajax/javascript/cssml/xml/json等网页技术；3、熟悉Linux 系统，熟悉Mysql，并有一定的性能优化经验；对NOSQL 和其它非关系型数据库熟悉者优先；4、熟悉各种WEB缓存技术，并有实际的项目经验优先；5、有分布式、集群、高并发、高负载、高可用系统开发经验优先；6、熟悉JAVA/Python/Node.js开发者优先，对技术执着疯狂追求。7、态度积极乐观，良好沟通能力（重要）。能力优秀者薪酬可以更高五天八小时工作制，9：00-18：00职能类别：软件工程师高级软件工程师关键字：周末双休带薪年假年终奖月度奖金季度旅游人才推荐奖节日福利领导好举报分享,PHP架构师
15000-19999/月,广东大速据网络科技有限公司,"职位描述：1、负责公司Web后台和社群APP产品的整体架构和系统基础结构设计；2、全面负责公司商城平台、手机客户端的建设和研发工作,包括网站架构设计、产品研发等开发与维护，网站架构中的底层核心模块；3、参与异构系统构建和设计优化，技术难题攻关，解决网站性能和安全性问题；4、帮助团队成员使用工具和框架解决灵活性和效率问题；5、制定适合网站特点的技术标准和开发规范岗位要求：1、大专及以上学历，5年及以上JAVA开发经验优先，3年以上做过大型电子平台、大型网站架构、设计经验，并具有项目管理经验；2、熟悉Spring、SpringMVC、MyBatis、RESTful Web Service、JMS、JMX、AOP、JUnit、Maven、Jenkins、Sonar等Java框架及相关工具技术，了解它们的设计思想和实现方式；3、精通网络和服务器优化、缓存、分布式存储技术，拥有异构系统开发部署和优化经验。4、熟悉MySQL等开源关系型数据库，熟悉MongoDB、Redis等NoSQL数据存储方案；5、精通数据库设计、分析、代码编写和调试,熟悉mysql/sqlserver/oracle三种数据库架构中任一种的具体操作;6、有云服务、移动网络、三级分销平台开发经验者优先；7、富有工作热情与合作精神，善于沟通，思维活跃，学习能力强，责任心和团队意识强。凡符合公司要求被我司聘用的人员，我司将提供有竞争力的薪酬待遇、系统全面的培训、广阔的发展空间及完善的员工福利1、薪酬：丰厚的薪酬2、晋升：架构师->实习技术经理->技术经理->技术总监->CTO3、实施5天/周，7.5小时/天工作制4、公司会不定期做专业培训5、依法享有法定节假日（年假, 婚假, 产假, 陪产假等）6、公司为减少员工工作压力，各种格式的集体活动公司本着“真诚、正直”的原则，踏踏实实做工作，实实在在交朋友，争取在未来的工作日子里做的更上一层楼，秉持着“诚信、创新、协作”的精神，“以品质求生存、以服务求发展”的职能类别：系统架构设计师项目主管关键字：项目主管架构师软件工程师java开发技术总监项目总监项目经理举报分享",架构师
20000-24999/月,广州奇异果互动科技股份有限公司,职位描述：岗位职责：1、对公司DSP广告需求方平台开发进行架构性设计;对公司产品或开发型项目整体负责，协调内外部资源，保证产品落地及项目顺利实施；2、负责产品功能和应用架构的设计，核心代码开发；3、负责线上系统的升级及优化，保证系统的质量和稳定性；4、对系统框架相关技术和业务进行培训，指导开发人员开发，并解决系统开发运行中的各种问题；岗位要求：1、2年以上互联网行业经验，需要有DSP、广告平台相关的项目经验；2、熟悉TCP/IP协议，有高并发在线服务系统的设计和实现经验；3、熟练使用常见的开源Web服务框架，熟悉Java、C++、Golang等一个或多个语言；4、深刻理解数据结构，算法等知识；5、有钻研新技术的热情和能力，善于交流和表达，富有团队精神，具有一定的管理组织能力6、曾在同等行业公司工作过者优先考虑。职能类别：网站架构设计师关键字：DSP架构师网络开发应用架构系统框架举报分享,架构师
20000-24999/月,广州餐道信息科技有限公司,职位描述：一、岗位职责：1、负责APP服务器开发；2、按计划完成产品模块的代码编写，产品模块测试，保证代码质量；3、编写接口文档并与前端开发工程师进行数据对接。4、具备良好的沟通协调能力和团队意识。二、任职要求：1、本科及以上学历，计算机或相关专业毕业，3年以上java服务器端开发经验；2、java基础扎实，有良好的面向对象设计思想；3、熟悉mysql数据库，并具有一定性能优化经验；4、有memcache或redis使用经验；5、熟练http及socket开发，对线程有深入了解；6、有高并发及分布式项目开发经验优先。三、地址和工作时间：1、广州荔湾区芳村大道下市直街一号会馆自编5A2-5B2单元；2、时间：周一至周五09:00-18:00（周末双休）四、公司福利：1、 提供完善的社保体制；2、 享有国家规定的法定假日及年假、婚假、产育假、带薪病假等假期；3、 公司每月为在职员工举办生日庆祝活动或送上节日福利；4、 提供多元化的企业文化设施，定期举办各类文娱体育活动；5、 公司关心员工身体，每年给员工进行定期体检；6、 “以人为本”调节员工身心，每年定期给员工举行旅游活动。职能类别：系统架构设计师关键字：系统架构师举报分享,Java架构师
10000-14999/月,广东大京世控股集团股份有限公司,"职位描述：岗位职责1、负责.NET应用系统平台架构、技术发展战略规划，完成相关的工作计划制定并达成工作目标；2、参与项目在技术架构方面的立项评审；3、负责核心技术问题的攻关，系统优化；协助解决项目开发过程中的技术难题；4、参与制定技术标准，编写相应的技术文档；5、配合项目的整体计划和安排,对技术人员进行技术培训和指导。任职要求1、 3年以上的.net架构经验；2、熟练掌握Oralce 、SQL Server中至少一种数据库产品；3、熟练掌握面向对象设计技术及UML，能够熟练使用Rose、EA等工具进行系统设计；4、熟悉常用设计模式；5、熟悉各种市场上常用技术并能够把握技术发展方向；6、具备很好的抽象能力和逻辑规划及思维能力；7、具有强烈的责任心和严谨的工作态度；8、熟悉DotNET MVC、SPring.net、NHibernate 开发经验、具备千万级并发访问解决方案经验者优先。9、有大型电商网站架构设计经验者优先。10、有大型分布式架构经验者优先职能类别：网站架构设计师关键字：.netOralceSQLServerUMLMVC、SPring.net、NHibernate电商网站架构开发技术举报分享",系统架构师
20-30万/年,韩国瓷肌中国区公司,职位描述：岗位职责：1、 部门后端代码抽检，抽检率至少达到30%。按脚本行数设定，100行代码抽检30%，每次抽检编制抽检结果2、制定代码检查单，按照封装和组件化要求、代码高性能指标设定指导性代码检查单，用于开发人员参照和自检（JAVA组件包/代码包、数据库SQL语句、存储过程等）3、定义和开发后端高性能框架，目标1000万PV/天4、 制定培训计划和培训教材，定时重点培训后端组开发人员，同时培训感兴趣的前端开发人员5、参与日常重点开发任务，当人手紧缺时非重点开发任务亦需承担6、与前端架构师配合，逐步建立公司的快速开发平台7、作为重构团队主力，与产品经理、后端架构师、开发经理（JAVA&PHP）、PHP主管一起定义和实现产品重构架构和核心代码开发8、 搭建公司JAVA方向的MAVEN服务器和持续集成平台9、 分布式数据库系统设计（考虑目前数据库架构的优化）10、设计和实施信息总线11、设计和实施主数据库12、 难点技术攻关招聘要求：1、精通JAVA和MYSQL数据库2、熟悉MangoDb类的NoSql数据库3、熟悉JAVA消息系统4、5年以上JAVA开发经历5、 同时熟悉C++、C#或PHP者优先6、 职业经历稳定性高者优先7、 有在电商公司/电商项目负责后端架构设计或整体设计者优先职能类别：网站架构设计师系统架构设计师举报分享,后端架构师
