salary,company,jobname,jobcont,jobid
10000-14999/月,东软集团股份有限公司,高薪诚聘COBOL工程师,职位描述：中级cobol开发工程师薪资范围：11K-15K岗位职责：负责国内银行项目主机COBOL开发工作职位要求：1、本科及以上学历，计算机相关专业毕业；2、至少2年COBOL开发工作经验，具有银行核心系统开发经验者优先；3、具有较强的沟通表达能力和逻辑思维能力工作地点：上班地点：珠海市唐家湾南方软件园职能类别：高级软件工程师软件工程师关键字：COBOLcobol大机主机390举报分享,1
10000-20000/月,上海华腾软件系统有限公司,cobol开发,职位描述：1、1年以上AS400机型下的cobol开发经验；2、有金融相关经验优先考虑；3、大专及以上学历；4、服务客户为世界500强公司，工作环境不错；5、每周四有水果下午茶；6、加班可以一比一调休。职能类别：软件工程师关键字：cobol大机AS400主机mainframeCOBOL举报分享,4
10-15万/年,福瑞博德软件开发（深圳）有限公司,AS400/COBOL Engineer,"职位描述：-Skill set: (please focus on main skills)?       Bachelor degree in IT related disciplines with 2 years working experience?       Require solid experience in CLP, SQL script and AS400?       Experience in insurance core system development is referred?       Experience in LFCM/HIAS/Integral Life is preferred?       Good system analysis skill-Job description:?       Analyze, develop, test and support project Data migration key and non-key value reconciliation?       Complete the assignment on schedule with good quality?       Work together with AIA members to meet overall project objectives职能类别：软件工程师高级软件工程师举报分享",2
8000-15000/月,广州银博信息技术有限公司,Cobol开发工程师,职位描述：任职要求：1.熟悉COBOL语言开发。2.熟悉OS/390开发环境，熟悉TSO操作命令。3.能独立完成代码编写、编译及修改等操作。4.了解JCL语言，能独立分析/解决错误。5.cobol开发经验3年以上。6.具有良好的沟通表达能力、良好的团队合作精神压力承受能力；7.本科以上学历，3年以上核心银行系统开发经验，计算机或相关专业；8.有高度的责任心、较强的学习能力、良好的沟通合作能力；上班时间：9：00-17：30，五天工作制。福 　 利：五险一金、年终奖金、加班补助、重大节日礼金礼品、不定期集体聚餐活动、年度旅游等等。假期福利：除法定假期外，公司员工额外享有公司提供的带薪年假、探亲假、产假、婚假等。联系方式：公司地址：广州科学城科学大道162号创意大厦B1栋5层506室电　  话：020-82557081简历投递：hr@wingsbro.com职能类别：软件工程师高级软件工程师关键字：测试工程师举报分享,7
10000-14999/月,友邦资讯科技（广州）有限公司,Cobol工程师,"职位描述：-Skill set:?	Bachelor degree in IT related disciplines with at least 6 year working experience?	AS400 operation is the basic need, preferred familiarity on OS/400 platform?	SQL programming is the basic need?	Cobol programming is the basic need?	Individual Life Insurance system analysis experience is basic need?	Fluent read/written English is needed and fluent oral English is preferred?	Production support experience is advantage?	Experience on working directly with end user is advantage-Job description:?	Perform requirement analysis with end user or business party?	Provide solution and estimate on the application system changes?	Develop, test and support applications following AIAIT development standards?	Provide user training on system functional changes?	Complete the assignment on schedule with good quality.?	Work together with AIA members to meet overall project objectives职能类别：数据库工程师/管理员高级软件工程师举报分享",6
10000-14999/月,南京绛门通讯科技股份有限公司,COBOL,"职位描述：Skill set: (please focus on main skills)Bachelor degree in IT related disciplines with 2 years working experienceRequire solid experience in CLP, SQL script and AS400Experience in insurance core system development is referredExperience in LFCM/HIAS/Integral Life is preferredGood system analysis skillAnalyze, develop, test and support project Data migration key and non-key value reconciliationComplete the assignment on schedule with good qualityWork together with AIA members to meet overall project objectives职能类别：软件工程师 高级软件工程师职能类别：软件工程师举报分享",5
10000-14999/月,北京格鲁泰克信息技术有限公司,高级cobol工程师,职位描述：岗位职责：在pmo的指导下，负责银行核心业务系统需求的开发和测试工作。岗位技能要求：1、 大学本科及以上学历，计算机或相关专业；国家英语4级或同等水平以上；2、 从事软件开发工作2年以上，从事过银行大型IT项目者优先；3、 具有金融行业项目开发经验或相关金融行业经验者，熟悉银行业务知识者优先；4、 熟悉开放平台技术，能够熟练使用unix系统基本命令，能熟练使用Cobol（或C）语言进行程序设计开发；熟悉Oracle（DB2等）关系数据库，精通基本的数据库操作命令；5、熟悉核心系统优先；职能类别：高级软件工程师关键字：bancscobol举报分享,3
10000-14999/月,昆明瑶池科技有限公司,计算机软件工程师  有赴日就业机会 月薪11K起,职位描述：本职位为日本IT公司驻中国代表处直招 工作地点日本东京要求：1、计算机软件专业本科毕业；2、计算机软件大专毕业+程序员证书（国家工信部颁发）；3、理科大专或本科毕业+程序员证书（国家工信部颁发）；4、日语N2以上+大专以上学历+程序员证书（企业颁发也可）；（满足以上4个条件其中一个即可）5、能至少熟悉操作以下任何一种开发语言：JAVA、.NET、C#、C/C++、SAP、PHP、COBOL、IOS、Android等；6、应届毕业生无工作经验也可，性别不限，年龄21-40岁；7、身体健康，有建业精神，对工作认真负责，能适应国外工作、生活，以及主动积极应对各项任务，能听从指挥，并做到耐心、诚实、守信。备注：本公司此职位名额宝贵并且有限，公司业务繁忙，请有意向到我公司应聘、面试者，先与家人商量并达成出国工作共识，做好出国工作的心理准备，再向我公司投放求职简历，避免浪费双方宝贵时间！工资待遇及福利：1、正式上班底薪20万日元（折合人民币1.1万元）起，如有日语N2证书，并有相关工作经验可适当加薪。六个月以后月薪可升3-10万日元（视个人工作能力而定），加班费另计，后期薪酬涨幅视个人工作能力而定（一般工作2-3年后可升50-60万日元），年终奖初期按：工作半年以内5万日元，半年以上10万日元发放；2、按日本政府规定双休日、节假日等政策工作休息，报销交通费用；3、享受与日本国民同等保险福利、福利政策（视个人需求而定）。其他：有计算机软件工作经验及日语基础者优先录取，签订二年工作合同，无中介费。日元兑人民币汇率：100日元=5.74元人民币（2016.3.10）以当日汇率为准职能类别：软件工程师举报分享,10
80元/天,广州东软睿道教育咨询有限公司,培训管理助理（实习）,职位描述：工作职责：1、负责与教学总监、销售的沟通与协调，完成项目课程安排和讲师资源的协调；2、承担项目经理职责，根据公司制度流程完成班级管理工作，监控教学质量；3、进行日常教学工作安排和跟踪，完成问题收集和反馈；协助进行问题解决和沟通工作；4、进行日常数据和实施素材的采集，完成日常数据的汇总汇报工作；5、负责相关学院活动的策划和组织；6、根据能力情况，职业素质培训、拓展训练、协助市场营销等工作安排；7、领导交代的其他工作。岗位要求：1、18周岁以上，本科在校生； 2、形象好、气质佳，性格开朗、待人热情，言谈举止大方得体，有亲和力；3、口才好，讲话条理清晰，有良好的人际沟通能力；4、头脑灵活，反应迅速，应变能力强，抗压能力强；5、做事积极，工作耐心、细致、严谨，有责任心、爱心，执行力强，学习能力强；6、热爱教育行业，善于倾听；7、有良好的客户服务意识，奋斗精神，团队合作精神，能适应灵活的工作时间（包括周末）；8、熟练使用OFFICE办公软件。我们承诺：1、入职即签订实习协议，将提供广阔的发展平台和丰厚的薪资待遇 ；2、双休；3、享有法定节假日假期，并有相关福利发放。公司简介：东软睿道（www.neuedu.com）在华南地区的区域总部设在广州（即：东软睿道广州基地），广州东软睿道教育咨询有限公司是东软睿道在广州成立的全资子公司，是广州市商务委、工信委、教育局、人社局联合认定的广州市国际服务外包培训机构，业务覆盖广东、广西、福建和海南四省。我们面向高校、个人、政府提供以东软知识体系为核心的人才培养解决方案，培养方向涵盖Java软件开发、.Net软件开发、C/C++软件开发、嵌入式系统开发、Cobol/RPG软件开发、移动终端开发（Android、iOS、H5）、软件测试、大数据与商业智能、IT日语/英语等方向。面向企业提供近岸外包，定制培养，IT相关的技术培训、管理培训、新员工始业教育培训、语言培训等，2012年在广州科学城启动规划、建设和试运行至今，已累计与广东省内100多所高校建立人才培养合作关系，并与省内近500家企业开展人才服务工作。我们致力于构造持续稳定的IT人才培养、发展和使用的价值链，成为华南地区最受客户和员工信赖的IT人才培养和服务提供商。职能类别：培训助理关键字：培训助理编程开发举报分享,22
15000-19999/月,广州东软睿道教育咨询有限公司,HTML5培训师,职位描述：工作职责：1、配合市场营销需求，进行相关技术专题商业讲座；2、制定相关实训课程计划、项目实训方案；3、根据教学安排，负责Web前端、HTML5相关课程的讲授；4、根据公司需要进行HTML5相关技术产品、项目的开发。岗位要求：1、22-30周岁；2、本科以上学历；3、计算机相关专业，2年以上Android项目开发经验，从事过软件需求分析、系统设计工作；4、具有较强的逻辑思维能力及出色的沟通表达能力，掌握常用教学方法学和授课技巧，有相关IT培训经验者优先；5、具有较强的责任感，热爱培训事业，能主动与学生沟通，关心学生，并督促学生认真学习；6、可根据业务需要出差；7、有Android、iOS开发经验者优先。我们承诺：1、入职即签订劳动合同，将提供广阔的发展平台和丰厚的薪资待遇 ；2、五险一金；3、双休；4、年终奖丰厚；5、根据您的工作年限，享有相应带薪假期；6、享有法定节假日假期，并有相关福利发放。公司简介：东软睿道（www.neuedu.com）在华南地区的区域总部设在广州（即：东软睿道广州基地），广州东软睿道教育咨询有限公司是东软睿道在广州成立的全资子公司，是广州市商务委、工信委、教育局、人社局联合认定的广州市国际服务外包培训机构，业务覆盖广东、广西、福建、海南、四川、重庆等多个省市。我们面向高校、个人、政府提供以东软知识体系为核心的人才培养解决方案，培养方向涵盖Java软件开发、.Net软件开发、C/C++软件开发、嵌入式系统开发、Cobol/RPG软件开发、移动终端开发（Android、iOS、H5）、软件测试、大数据与商业智能、IT日语/英语等方向。面向企业提供近岸外包，定制培养，IT相关的技术培训、管理培训、新员工始业教育培训、语言培训等，2012年在广州科学城启动规划、建设和试运行至今，已累计与广东省内100多所高校建立人才培养合作关系，并与省内近500家企业开展人才服务工作。我们致力于构造持续稳定的IT人才培养、发展和使用的价值链，成为华南地区最受客户和员工信赖的IT人才培养和服务提供商。职能类别：培训讲师关键字：HTML5培训师H5IT举报分享,23
