salary,company,jobcont,jobname
10000-18000/月,广州恩恩网络科技有限公司,职位描述：“3N技术合伙人”是一个服务互联网+创业者的技术公司，已获天使投资，目前业务处于高速增长中。我们正在寻找认同3N理念，喜欢和互联网+创业者一共成长的攻城狮。欢迎爱挑战的你！岗位职责：1、负责公司项目的服务端程序开发，包括网站、管理后台、客户端接口等；2、能够准确理解功能需求、准确画出功能处理流程图，并在此前提下完成代码编写；3、遵循公司已有编码规范，完成符合公司编码质量标准的程序，同时需要负责编码质量检查的工作；4、负责项目的数据库设计，确保设计与业务需求相符；5、组织开发团队，根据项目进度安排沟通、协调整体计划；6、及时向上级反馈需求和技术上的问题，提供合理化建议并积极推动问题解决；7、辅导/组织其他员工开展技术开发工作；8、遵循公司的项目管理规范，完成项目执行过程中的相关管理工作。任职资格：1、3年及以上PHP+MySQL开发经验，熟悉html/css/js/ajax等相关技术；2、有良好的编写代码习惯，要求结构清晰、命名规范、逻辑性强；3、熟悉PHP MVC开发框架，熟练掌握Yii、CodeIgniter、ThinkPHP等任一种PHP框架，有ThinkPHP开发经验者优先；4、具有数据库索引优化、查询优化和存储优化经验、Memcache或Redis等缓存、静态化设计方面的经验；5、熟练使用SVN、Git等任意一种版本管理工具，有Git使用经验更佳；6、熟悉LAMP或LNMP环境，有能力处理项目部署过程中遇到的各种问题；7、优秀的沟通能力和工作激情，具有良好的团队协作精神；8、可以承受较强的工作压力，有在压力下解决问题的能力和经验；9、强烈的责任感，勇于承诺，并倾尽全力兑现承诺。职能类别：高级软件工程师软件工程师关键字：PHPWeb开发高级ThinkPHP举报分享,系统架构设计师
30000-39999/月,成都拓能特人力资源管理有限公司,"职位描述：职位描述/岗位要求：1. 计算机、信息安全相关专业，5年及以上系统设计研发经验，3年以上安全产品或大型复杂软件系统架构设计、系统设计和编程经验，5年以上团队管理经验；2. 熟练掌握网络审计/入侵监测/入侵防御类安全产品的实现原理和设计思路，有过同类产品的设计研发经验；3. 熟练掌握类Unix平台下的TCP、UDP等网络编程技术，精通Linux内核，精通网络抓包,系统优化,算法优化的编程；4. 精通LAMP,J2EE,.NET,RIA等主流框架技术，精通Linux/Windows系统，精通C/C++/J2EE/LAMP等主流研发框架；5. 精通使用SQL server、Oracle、Berkeley DB等数据库，精通数据库设计和优化；6. 了解表单定制、可视化工作流定制、 报表自动生成等软件开发平台技术，对高性能、分布式、SOA架构系统设计和实现具有丰富的实践经验；7. 具备良好的沟通能力和业务理解能力，熟悉信息安全技术和开发团队管理经验者，有外企或海外研发工作经验者优先考虑；职能类别：技术总监/经理系统架构设计师关键字：技术总监系统架构设计架构举报分享",技术总监（系统架构设计师）
15000-25000/月,广州市触通软件科技股份有限公司,职位描述：1. 负责网站与系统架构整体设计，技术架构选型，并主导功能模块设计、数据结构设计、对外接口设计；2. 承担系统核心功能的研发工作；负责核心技术问题的攻关，系统优化，协助解决项目开发过程中的技术难题；3. 积极了解业界发展、互联网相关新技术及趋势，规划公司未来技术架构方向；任职要求：1、计算机及相关专业专科及以上学历；2、5年以上Java网站开发经验，具有大型分布式、高并发、高可用性系统实际开发经验；3、熟悉系统架构设计、数据库结构设计、业务逻辑抽象、组件封装等编码工作；4、深刻理解软件系统架构，精通面向对象分析设计方法，逻辑能力强，熟练掌握如何设计网站及系统的构架及完整解决方案；5、熟练掌握MySQL等主流数据库，熟悉数据库建模以及事务处理，具备深厚的SQL功底，并有着丰富的数据库设计经验；6、良好的沟通及组织能力，良好的团队合作精神职能类别：系统架构设计师关键字：互联网互联网金融架构师上市公司开发JAVA工程师高级JAVA举报分享,系统架构设计师
15000-19999/月,广州市柏涛信息技术有限责任公司,职位描述：岗位职责：1.负责企业管理信息化领域的业务架构和技术架构设计。2.涉及的系统包括：BPM、进销存、CRM、电商、SCM、BI。任职要求：1.全日制本科以上学历，计算机相关专业2.具有BAT公司经验，或国内大型软件研发公司的相同岗位工作经3.要求具备架构师岗位工作经验3年以上，并具有相关理论和系统实践的基础（要求提供相关例子）。4.要求精通OOD，有多个设计模式的实践经验。5.具有严谨的软件开发工程管理理念和实践，并能够基于项目进行实施。6.精通数据架构设计，熟悉多种开发语言。7.要求熟悉互联网应用架构基础，并能否独立进行深度研究。8.一经录用，待遇从优职能类别：系统架构设计师举报分享,系统架构设计师
20000-24999/月,广州市高奈特网络科技有限公司,职位描述：岗位职责：1、参与系统的架构设计与搭建；负责网站系统的高性能、高可用，确保代码质量；2、负责平台数据库设计；3、相关设计文档的编写，编制系统编码规范，指导团队落实设计和规范，组织日常代码review工作；4、参与项目管理和系统开发计划的制定；5、指定系统发展路线图，逐步稳妥推进架构优化项目；6、线上紧急问题的快速响应，新系统上线部署及维护工作，团队疑难问题的跟进和解决。任职要求:1.本科全日制院校毕业，五年及以上JAVA开发经验，3年以上软件架构经验；2.具有丰富的B/S程序设计经验，精通J2EE系统架构，熟悉常见开源框架和技术原理；3.具有大型关系型数据库的开发和设计经验；4.熟悉分布式、缓存技术、并发控制、负载均衡等；5.有以下经验者优先考虑：Hadoop生态系统、全文检索及分词技术、海量数据存储与分布式存储技术、CDH；1、工作时间：周一到周五每天7.5小时；2、公司福利：社会保险及住房公积金：（享受国家规定的养老保险、医疗保险、工伤保险、失业保险、生育保险以及住房公积金等）带薪休假（享受国家规定的法定节假日、婚（丧）假、产假、看护假等，以及最多可达10天的年休假）3、加班、出差、通讯补贴、全勤奖金4、13薪+年终绩效奖金5、生活福利：(1) 公司每月定期举办生日Party，发放生日礼金和礼品；(2) 公司为员工组织丰富多彩的文娱/体育活动（羽毛球、蓝球、游泳等等）；(3) 端午/中秋等传统节日发放节日礼品；(4) 三八妇女节按国家规定放假外，同时送上公司为所有女同事准备的贴心礼品；(5) 每年度免费安排体检。职能类别：系统架构设计师高级软件工程师举报分享,系统架构设计师
30-40万/年,广东哈中少商教育科技有限公司,"职位描述：岗位职责1、负责在线教育系统及相关产品需求分析及架构设计；2、对产品的整体系统架构负责，对产品的系统安全性设计负责，开发及相关设计文档编写；3、负责相关请求的技术分析，负责制订相关的技术解决方案；4、参与制定设计及实现规范，指导设计、实现及部署工作；5、配合项目经理进行技术决策，进行技术风险评估；6、负责对软件开发团队的技术指导。任职资格1、软件工程、软件开发相关专业本科及以上学历；2、3年以上工作经验，具有独立承担超过2年以上的软件项目系统分析和架构设计经验，有成功案例、大型系统软件架构设计经验优先；3、掌握软件工程理论，精通至少一种软件工程方法，有较强的系统分析能力；4、熟悉.net及JAVA体系架构，精通主流的开源框架；5、精通Oracle,sqlServer等数据库的应用，有大型MIS系统构建经验，具有相关应用开发经验及数据库规划能力；6、了解最新的技术及发展趋向，网络知识经验丰富，懂得怎样衡量各种设计方法的利弊，懂得平衡各种开发局限的制约；7、极强的文档撰写能力，良好的英文阅读能力；8、逻辑分析能力、学习能力和创新能力强，具有团队合作精神，良好的语言表达及沟通能力。工作地址：广州市天河区金穗路1号邦华环球广场1606职能类别：系统架构设计师系统工程师举报分享",系统架构设计师
10000-18000/月,广州丁香软件有限公司,"职位描述：岗位职责：B/S架构的系统设计和开发任职条件：1、JAVA基础扎实，熟练掌握J2EE编程；2、掌握Spring,Struts,Hibernate框架下设计与开发；3、有大中型系统的设计和开发经验；4、对算法和设计模式有一定的了解；5、熟练掌握ExtJS或者JQuery等前端Web开发技术；6、有5年以上JAVA开发经验；7、最好有JUnit等自动化测试开发经验；8、良好的敬业精神，团队合作精神，很强的沟通能力，能承受工作压力。职能类别：系统架构设计师举报分享",JAVA架构设计师
8000-13000/月,广州新的美地电子科技有限公司,职位描述：岗位职责：1、负责技术架构设计、重构、优化，根据业务规划及技术规划制定应用架构方案，梳理公司各平台网站、软件的功能需求；2、主导/参与技术难题攻关，持续提升核心系统在高并发、海量请求数下的高处理性能；3、负责规划程序的运行模式，层次结构，调用关系并软件开发编写；4、配合团队做好软件开发中的项目管理；5、发现、解决系统开发、运行中出现的各种问题；任职要求：1、5年以上软件开发经验，熟悉软件开发流程，熟悉常用项目构建工具；2、3年以上大规模高并发访问的Web应用开发经验优先考虑；3、深刻理解面向对象思想，熟悉常用的OOP工具；4、熟悉常用数据库软件(Oracle/MySQL/DB2)的原理和使用，熟悉常用ORM和连接池组件，有相关的开发经验者优先；5、常用开源框架有深入的了解，对框架本身有过开发或重构者优先；6、熟悉分布式系统的设计和应用，熟悉分布式、缓存、消息、负载均衡等机制和实现；7、熟悉.Net，HTML/CSS，C++，IIS，windows server，广域网技术；8、要求稳重、踏实、有责任心，具有良好的团队合作精神和沟通能力，并有很强的学习能力；9、逻辑思路清晰，较强的创新能力，有良好的计划和执行能力，有项目团队管理经验；10、计算机软件/应用相关专业本科（及以上）学历；11、有微软认证工程师资质更好。----------------------------------------------------------------------------------------------------------------------------------工作周期：每天8小时标准工时工作制，双休。新的美地会给您：1、优厚的薪资待遇和福利保障（入职即购买五险一金），让您高枕无忧；2、享受带薪年假、带薪探亲假及各类国家法定节假日，让您能够享受属于自己的美好时光；3、结婚礼金、生育礼金、节日礼品、员工体检、年度旅游等，让您感受到无微不至的人文关怀；4、完善新员工培训、产品培训、个人发展规划、管理技能培训等各项培训，让您迅速成长；5、优美的办公环境，激情澎湃、相亲相爱的团队，开明的领导，人性化的管理，让您在舒适的氛围中工作！--- 欢迎加入广州新的美地电子科技有限公司！职能类别：系统架构设计师软件工程师关键字：系统架构软件开发Net/HTML/CSS/C++/IIS/windowsserver/Oracle/MySQL/DB2举报分享,系统架构设计师/电商平台系统架构师
8000-20000/月,广州华工弈高科技有限公司,"职位描述：岗位职责1.	负责系统及相关产品需求分析及架构设计；2.	负责向客户讲解产品及架构设计思路，引导客户公司产品；3.	对产品的整体系统架构负责，对产品的系统安全性设计负责，开发及相关设计文档编写；4.	负责相关请求的技术分析，负责制订相关的技术解决方案；5.	参与制定设计及实现规范，指导设计、实现及部署工作；6.	配合项目经理进行技术决策，进行技术风险评估；7.	负责对软件开发团队的技术指导。任职资格1、软件工程、软件开发相关专业本科及以上学历；2、3年以上工作经验，具有独立承担超过2年以上的软件项目系统分析和架构设计经验，有成功案例、大型系统软件架构设计经验优先；3、掌握软件工程理论，精通至少一种软件工程方法，有较强的系统分析能力；4、熟悉.net及JAVA体系架构，精通主流的开源框架；5、精通Oracle,sqlServer等数据库的应用，有大型MIS系统构建经验，具有相关应用开发经验及数据库规划能力；6、了解最新的技术及发展趋向，网络知识经验丰富，懂得怎样衡量各种设计方法的利弊，懂得平衡各种开发局限的制约；7、极强的文档撰写能力，良好的英文阅读能力；8、极强的理解接受能力、沟通表达能力；9、逻辑分析能力、学习能力和创新能力强，具有团队合作精神。职能类别：系统架构设计师关键字：带薪年假年终双薪加班补助交通补助出差补贴话补节日福利举报分享",系统架构设计师（急聘）
25000-29999/月,广州华微明天软件技术有限公司,职位描述：岗位职责：1、确定产品的技术架构设计和整体技术路线；2、对产品中的总体设计、模块设计进行确定、审查和把关；3、制定开发规范，参与制定技术标准，编写相应的技术文档。任职要求：1、计算机及软件相关专业，本科及以上学历；2、3年以上架构设计工作经验；3、熟悉.NET和Java体系架构；4、具有丰富的B/S程序设计经验，熟悉常见开源框架和技术原理；5、熟悉分布式、缓存技术、并发控制、负载均衡等；6、具备良好的面向对象编程经验，深入理解OOP、OOD思想，具有很强的分析设计能力，熟悉常用设计模式；7、精通UML建模，熟练使用相关建模工具；8、具备优秀的沟通和组织能力。职能类别：系统架构设计师举报分享,架构设计师
