salary,company,jobname,jobcont,jobid
10000-14999/月,广州飞屋网络科技有限公司,Python,职位描述：岗位职责1. 熟悉Python开发，熟悉Django框架开发，熟练使用Python标准库和流行的第三方库2. 熟悉Linux、Shell、以及其常用命令3. 熟悉TCP/IP协议及HTTP协议4. 熟练使用mysql，熟悉mysql的各种存储引擎，具有mysql性能优化经验5. 了解或熟悉MongoDB、Redis等相关数据库的使用任职要求1、大专或者本科以上学历2、1年以上Python开发经验，有成功项目经验优先3、工作积极细心，有一定工作压力承受能力4、工作沟通无障碍，注重团队利益职能类别：互联网软件开发工程师举报分享,12
6000-15000/月,北京云房数据技术有限责任公司广州...,Python工程师,职位描述：岗位职责：1、参与爬虫系统的设计和开发2、配合数据分析师实现分析算法。3、负责实现数据处理功能模块的开发，任职资格：1、1年以上工作经验，熟悉Python/Java，热爱python编程，熟悉常用扩展库2、熟悉爬虫、种子、去重、提取、过滤、分发、DNS cache、异步处理等概念和过程；3、熟练使用SQL语言，熟悉数据库设计，熟悉Linux系统4、具有文本处理、相似度计算、数据清晰算法经验者优先公司福利待遇：1、每年有1-2次的外出旅游和丰富的员工活动（例如：每周五天河体育中心包场篮球运动）；2、春节、中秋、端午等节日有过节费；3、每年组织一次体检；4、除国家规定要购买的五险一金外，会给员工另外购买意外险；5、法定的带薪假期、1年有1-2次加薪机会，丰厚的年终奖；6、法定的年假和公司的福利带薪年假；7、员工结婚有一定的贺金，不定期举办集体活动，每年组织一次旅游活动；8、公司实行5天7小时工作制；9、定期公司给予员工福利食品。职能类别：软件工程师高级软件工程师举报分享,7
8000-9999/月,上海新工式网络科技有限公司,Python开发工程师,"职位描述：【工作内容】*本岗位为非全职岗位1、各种应用功能的后端代码开发2、分布式存储系统的后端开发3、后端系统的自动化运维和性能优化【职位要求】1、	熟练Python语言，软件知识结构全面2、	熟悉SQL 语言，有MySQL或者Postgresql的开发经验3、	熟练Java语言，软件知识结构全面4、	精通Linux操作系统和TCP/IP协议, Linux系统的忠实用户优先5、	拥有NoSQL数据库，Hadoop等开发经验者优先6、	了解分布式系统的原理，并且有开源分布式系统开发经验者优先7、	能够对某个新领域进行搜索, 总结并快速学习8、	拥有阅读、学习英文材料的能力, 经常关注开源社区项目并参与讨论, 贡献自己的能力者优先职能类别：软件工程师举报分享",10
10000-20000/月,广州捷狮信息科技有限公司,Python 开发工程师,职位描述：1. 精通 Linux 下至少一种 Python 开发框架 (Twisted/Django/Tornado/Flask)，有 REST API 开发经验优先；2. 熟练操作Linux，能进行脚本编程和系统维护；3. 熟悉 MySQL，有 redis、ssdb 经验优先；4. 熟悉 Web 前端（HTML/CSS/JS），有 jQuery/Bootstrap 经验优先；5.负责公司游戏开发，有相关项目经验优先考虑。职能类别：多媒体/游戏开发工程师互联网软件开发工程师关键字：Python游戏服务端举报分享,9
6000-7999/月,广州云购网络科技有限公司,Python软件开发师,职位描述：岗位职责：1、 参与产品构思和架构设计；2、 撰写相关的技术文档；3、成软件的设计、实现、测试、修改bug等工作；任职要求：1、 熟悉web开发；2、 熟练mysql、nosql；3、 有服务器运维经验优先；4、 tornado框架的使用经验优先；5、有良好的沟通能力、团队合作精神、能承担工作压力；职能类别：软件工程师互联网软件开发工程师关键字：急聘举报分享,8
10000-14999/月,广东温氏信息科技有限公司,Java/python 研发工程师,"职位描述：工作职责：负责事业部ERP系统应用调研，方案设计，开发，测试，实施等工作；参与事业部应用开发平台建设，移动应用开发与维护；参与需求分析，产品设计，功能开发，负责系统的日常监控与优化要求：本科/硕士学历，软件开发类相关专业；2年以上Java开发经验，扎实的Java编程基础，熟悉常用的Java开源框架；精通Python/Odoo/Django/Tomado,熟悉常见的python web框架；具备数据库设计能力，熟悉掌握Oracle/Postgresql/mysql等应用者优先；熟悉ERP原理，具备独立开发业务模块的能力；熟悉J2EE/JavaEE体系，Web开发绩效，Linux操作系统等前端技术；具备较强学习适应能力和解决问题能力；积极乐观，踏实诚信，有良好的业务理解，沟通协调能力职能类别：高级软件工程师软件工程师举报分享",6
2000-2999/月,广州神月信息安全技术有限公司,Python开发工程师实习,职位描述：承担web前/后端的技术工作，开发和维护公司产品岗位要求：1. 有扎实的编程功底及Python开发经验，精通Django；熟悉MongoDB、Redis者优先2. 熟悉HTML/CSS/JavaScript3. 习惯在Linux环境下工作，熟悉Shell编程4. 熟悉互联网产品的开发过程，有互联网产品研发经验者优先5. 有良好的代码编写习惯，遵守编码规范6. 乐于交流分享，有钻研新技术的热情和能力7. 会做时间管理和使用GTD软件8. 良好的团队意识与自我管理能力福利待遇1、各类茶水、咖啡、果汁等饮品全天候免费供应；2、法定假期，双休，上班免打卡职能类别：脚本开发工程师举报分享,1
8000+ /月,广州易活生物科技有限公司,Python程序员,职位描述：岗位职责：1、负责Python程序编写，后台开发及文档编制等工作。2、负责系统后期的持续升级开发工作及运维工作。岗位要求：1、软件开发基础知识扎实，具备较强的学习能力和良好的团队协作精神，热爱软件开发行业。2、掌握SSH框架，熟练掌握MyEclipse开发工具，具有一定的项目经验；3、具备数据库（MySQL）开发能力，熟悉SQL语言。具备以下能力者优先考虑：1、熟悉SVN版本管理工具；2、有过医疗行业项目或数据分析项目的开发或实施经验。职能类别：软件工程师 数据库工程师/管理员职能类别：软件工程师数据库工程师/管理员举报分享,5
10000-14999/月,网易集团,Python开发工程师,职位描述：工作职责：* 研发移动产品的后端服务器；* 研发后台管理网站。任职要求：* 计算机或相关专业本科及以上学历；* 3年以上工作经验，1年以上Python开发经验；* 熟悉服务端技术和Web技术者优先，例如nginx、MySQL、NoSQL、HTML等；* 具有扎实的编程基础、较强的解决问题的能力，能够编写高质量技术文档；* 具有良好的团队合作精神、积极主动的沟通意识和良好的沟通能力；* 具有强烈的进取心和求知欲，善于学习和运用新知识；* 对移动互联网产品有浓厚的兴趣和较好的个人理解。职能类别：高级软件工程师举报分享,3
10000-20000/月,老K游戏,Python开发工程师,职位描述：【任职要求】：1、有在linux平台上的服务器开发经验；2、熟悉后台服务器开发及部署；3、有python语言开发经验；4、熟悉MySQL数据库开发和管理；5、有基于python的django，flask，tornado等web框架的开发经验尤佳；6、有网页前端开发经验或熟悉bootstrap开发尤佳；7、日常工作需要有严谨的产品需求分析能力，并将之文档化和实现。有责任感，需要较强解决问题的能力和团队合作精神。职能类别：软件工程师互联网软件开发工程师举报分享,2
