salary,company,jobname,jobcont,jobid
15000-30000/月,广州多益网络股份有限公司,大数据平台开发工程师,职位描述：工作职责：1.负责大数据基础平台、数据分析系统架构设计和开发；2.协调配合数据分析团队工作，保障数据挖掘建模和工程化。职位要求：1.本科以上学历，3年以上大数据系统架构经验；2.精通Hadoop/HBase/Spark/Storm技术及其生态圈；3.熟悉Kafka/Flume等数据收集处理技术；4.熟悉Java/Scala/Python等语言，熟悉大数据策略算法；5.具备良好的系统分析能力，解决问题能力。投递方式：部门通过官网系统评估简历，建议有意者直接登录招聘官网（hr.duoyi.com）选择对应职位并填写投递，我们将认真查看每一封简历并做回复，感谢您对多益的关注！职能类别：互联网软件开发工程师算法工程师关键字：大数据架构师举报分享,16
10000-30000/月,广州市赛酷比软件有限公司,广告机制算法高级工程师,职位描述：1、负责基于海量用户数据，研究用户行为，开发用户画像；2、负责设计新闻精准投放，个性化推荐等算法，提高产品用户体验和新闻排序效果；3、负责各算法和模型的分布式实现（离线，在线），丰富并行算法库；4、负责提供系统设计和代码文档；5、参与数据清洗和过滤、特征抽取、参数选择、算法实验、效果分析5、负责广告排序机制，处理CTR和BID的策略，实现用户体验和公司收益的平衡6、负责广告计费的策略，实现广告主ROI和公司收益的平衡任职资格:1、本科及以上学历，计算机、应用数学、模式识别、人工智能、自控、统计、运筹学等专业；1、 一年以上数据分析或数据挖掘或NLP经验。有互联网大数据分析经验，数字营销、广告行业经验者优先；2、有推荐系统、精准营销、精准广告、信息检索等方面的实际工作经验；3、熟练掌握至少一种编程语言，Java、Scala、C++、R、Python；4、熟悉Linux工作环境。职能类别：算法工程师举报分享,20
8000-9999/月,中通服软件科技有限公司,大数据开发工程师,职位描述：1.负责系统的开发、测试工作；2.负责功能模块的性能调优、疑难问题解决；岗位要求：1.具有扎实的计算机操作系统、数据结构等编程基础，熟悉Java、Scala、Python、R语言；2.具有基于spark/Hadoop/Hbase等应用开发经验，对分布式计算理论有深刻理解；3.个性开朗，对技术钻研好学、逻辑思维能力强，沟通能力优秀，有团队合作精神；4.能承受较大的工作压力。职能类别：软件工程师举报分享,17
10000-13000/月,广州和元达信息科技有限公司,大数据开发工程师,职位描述：岗位职责：1. 基于开源技术开发大数据处理平台，涉及数据处理的不同环节，包括：采集，存储，清洗及治理；2. 大数据处理平台的维护和优化；3. 开发实践技术分享和归档；岗位要求：1. 精通至少一种开发语言，包括但不限于：Java，Scala，Ruby，Go等；2. 开源技术框架：Hadoop，Spark，Kylin，Prestro等精通至少一种；3. 熟练掌握大数据平台中的HDFS、yarn、habass、hive、sqoop、flume、zookeeper等常用软件工具。4. 深刻理解敏捷开发模式；5. 热衷技术，较强的快速学习能力；6. 2年以上大数据项目开发经验， 实践过至少2个大数据开发项目，开发周期不少于半年；7. 有流处理系统和离线分析系统建设经验；8. 精通至少一个行业的平台建设，包括但不限于：电信行业，金融，互联网等；电信行业经验为佳。职能类别：软件工程师关键字：大数据大数据开发应用开发举报分享,18
10000-20000/月,广州维朗网络科技有限公司,高级java开发工程师,职位描述：岗位职责：所做项目：全国范围的B2B保险平台任职要求：1.计算机软件等相关专业本科及以上学历、3年及以上开发经验；拥有4～5中大型软件项目设计、开发、实施经验或大型互联网公司工作经验者优先；2.精通JAVA语言，精通Hibernate、Spring、SpringMVC开发；有Scala 开发经验优先3.熟悉HMTL，XHTML，Xml，CSS，Javascript，AJAX等网络技术；4.熟练掌握SQL语法，精通MYSQL或其他主流数据库，以及相关技术和工具；5.熟练掌握OOA/OOD，至少一种相关工具的应用；6.吃苦耐劳，有责任心，具备较强的组织沟通能力和抗压能力，能适应高强度的工作。上班地点：广州市萝岗区科学城光谱西路3号职能类别：软件工程师关键字：java开发举报分享,21
8000-15000/月,广州瑞云网络科技有限公司,数据挖掘工程师,职位描述：1、负责数据挖掘领域的分析研究，包括数据挖掘算法的分析研究，特定项目的数据挖掘模型的需求分析、建模。2、运用自然语言处理、机器学习等方法和技术，挖掘和分析海量互联网数据。3、数据平台建设，分析企业业务部门实际需求，规划、推进公司数据平台的建设及维护。岗位要求：1、本科及以上学历，有相关数据挖掘产品设计相关经验，侧重数据挖掘、数据产品。2、具有扎实的计算机操作系统、数据结构等编程基础，熟悉Java、Scala、Python语言。3、对Hadoop、Hive、Spark、Storm等大规模数据存储与运算平台有实践经验。4、.沟通能力强，具备良好的执行力，有很强的团队协作和独立完成工作的能力，具备与技术人员沟通数据需求的能力。职能类别：数据库工程师/管理员关键字：数据挖掘数据分析举报分享,22
8000-15000/月,广州爱特安为科技股份有限公司,scala工程师,"职位描述：【任职要求】1.计算机相关专业,大专及以上学历；2.熟悉Scala语言，掌握异步编程，实践使用scala语言1年或以上；3.熟练使用intellij或者eclipse开发工具；4.熟悉XML、HTTP协议及函数式编程优先；5.较强的文档编写能力、设计能力和一定架构能力者优先;6.具有基于play2框架的作品、WebSocket开发经验者优先;7.会用github的优先;8.新技术接受能力强，具有程序设计模式思想，具有较强的学习能力、沟通能力和团队合作精神；9.对移动互联网产业有浓厚的兴趣；【岗位职责】1.负责基于Play2框架项目的开发规划、架构设计、编码的工作；2.撰写技术实现文档，参与技术方案验证；3.配合设计和测试团队完成软件用户体验、运行及通信速度、功能等方面的改进及提升；4.调试和解决系统测试中发现的问题；5.配合其他部门，提供产品相关技术支持。职能类别：高级软件工程师举报分享",1
15000-20000/月,北京胜普多邦通信技术有限公司,hadoop工程师,职位描述：岗位职责：1. 基于Hadoop平台进行MapReduce、Hive和Spark的应用开发；2. 平台构建及运维管理工作；3. 大数据平台数据清洗、转换和建模的开发。任职资格：1. 从事算法相关工作2年及以上；2. 精通Java、Scala开发，掌握Hadoop、Spark、HBase、Hive、Zookeeper、storm、Kafka、Flume等开源项目的原理和使用方法；熟悉mysql，oracle数据库；3. 熟悉Hadoop/Spark生态环境体系的搭建和管理；有大平台架构开发经验；具有实际集群搭建和调优经验；具有真正项目使用经验；4. 良好团队协作和沟通能力；5. 有通信行业背景优先。职能类别：软件工程师举报分享,19
6000-10000/月,广州数联软件技术有限公司,大数据开发工程师,职位描述：岗位职责：1、跟进数据项目进程协助算法人员完成相应算法开发。2、数据清洗、ETL3、承担应用开发工作工作技能要求：1、全日制本科及以上学历，计算机相关专业。2、熟悉hadoop/spark原理，熟练运用hadoop/spark生态圈软件。3、丰富的java和scala编程经验4、熟悉mysql5、熟悉Linux/Unix系统，包括Shell/Python等脚本编码和软件开发等。6、熟悉JVM运行机制和内存管理优先。7、良好的沟通能力和逻辑思维能力。职能类别：算法工程师软件工程师关键字：大数据JAVAHadoopPythonshell算法举报分享,13
50-60万/年,上海艾右企业服务有限公司,高频交易程序员,职位描述：岗位职责：1.    负责境内外市场量化投资策略的开发及策略管理，包括但不限于高频交易、统计套利、管理期货、基本面量化、全球宏观等；2.    完成策略的复制与测试，在给定的风险范围内，负责策略的投资管理。任职要求：1.    重点院校全日制硕士及以上学历，具有金融工程、数量经济、数理金融、统计学、应用数学等相关专业知识背景；2.    具有3年以上数量研究和投资经验，熟悉金融投资理论，对量化投资，股指期货，商品期货等对冲，套利有深入研究，其中有2年以上实战经验；3.    精通计算机程序设计，熟练使用java，scala等语言开发大型金融程序；4.    有良好的团队合作意识和敬业精神，能够与机构和渠道进行有效沟通。职能类别：高级软件工程师金融/经济研究员关键字：高频交易量化投资金融量化投资量化交易举报分享,14
