salary,company,jobname,jobcont,jobid
6000-7999/月,广州市利丰市场调查有限公司,香港财仔3100固定底薪,职位描述：职位要求1.年满18-35周岁2.粤语标准流利，口齿清晰，音质佳3.待人亲切，善与人沟通，性格活泼开朗，有敢于挑战高收入的信心4.具长期服务意向及良好的服务意识工作内容：3100-4000固定底薪+1%提成+绩效奖金。本公司于热线中心内，透过电话向香港客户进行联络登记服务，无需外出和轮班。本公司是与香港多间银行及律师行有着长期良好合作伙伴关系的顾问公司，透过本公司对于财务策划上面的专业知识，客户可以轻松面对业务上，以及个人方面的各种财务需求，现公司正大量招聘所述空缺，诚挚邀请有志于从事电话推广业务之优秀人才加入，成为我们的一份子.本公司深信，员工是公司最重要的资产，他们的成长就是公司的成功.工作时间：星期一至五10：00~19：00，中午有(75分钟)吃饭时间，每天另有(40分钟)小息时间，星期六日长短周双休，公司还有根据同事的工作质量，定期搞活动，旅游奖励同事！其余所有假期都是跟香港的公众假期休息。备注：1公司开业至今有5年以上，工作时间稳定无需加班，不用自己销售，只需填写客户基本资料，然后交给销售经理。室内电话，不需外出，不需与客户见面2.利丰市场调查有限公司长期招聘有意者请携带身份证原件、简历至以下地址面试。3.欢迎应届毕业生面试。实习期满，我司将提供实习证明以及实习生转全职员工的机会公司地点：广州市荔湾区人民中路（555）号，美国银行中心（2221）室，面试时间为周一至周五：10：00-19：00。（无需约见，可直接到工作地点面试）职能类别：信贷管理电话销售关键字：直销销售电话销售销售财仔电话客服奖金丰厚人才推荐奖立即上岗员工旅游银行举报分享,1
10-15万/年,广州华夏经纬市场调查有限公司,系统工程师,职位描述：华夏经纬总部位于广州，北方区域总部设在北京，并在长沙、武汉、成都、深圳、昆明、青岛、福州、上海等城市设有分支机构。广州华夏经纬市场调查有限公司是国内最专业的市场研究公司之一，公司接受政府机构、企事业单位的委托，独立完成各类市场研究及管理咨询项目，研究领域涉及电信运营商、烟草、快速消费品、IT互联网、汽车/机械制造、房地产、医药卫生、家居房地产、商业服务等行业。华夏经纬凭借具有深厚专业知识和丰富行业经验的研究咨询队伍、规范严谨的工作流程和质量保证体系以及覆盖全国的市场资源网络，构建了服务不同领域的实力雄厚、结构合理的专业服务团队，在市场研究、第三方满意度测评、消费者行为研究、渠道/商圈规划、媒介研究、数据挖掘与分析、品牌管理等领域为客户提供专业的营销解决方案。广州华夏经纬市场调查有限公司现诚聘系统工程师岗位职责：1、制定产品业务规范，整理、完善产品文档，业务流程及相关内容2、负责公司舆情系统核心技术研发和系统架构设计；3、负责系统代码开发，接口设计开发，系统维护；4、负责解决开发过程中的技术难题，能对系统易用性方面提出功能修改；5、相关开发文档的整理与编写，对相关人员提供技术培训，指导设计，参与并完成系统开发。岗位要求：1.大学本科以上学历，计算机专业，2年以上工作经验；2.精通php或python编程，熟练运用MVC框架，理解OOP思想，有设计模式开发经验；3.使用过开源MVC框架；4.熟练掌握LNMP的web开发架构；5.熟悉Javascript、XML、Ajax、Jquery等Web2.0技术；6.熟悉Apache、Nginx等Web服务器的配置及优化，可以独立配置网络应用环境；7.熟悉mysql优化及mysql瓶颈解决方案；8.精通memcached和redis的配置、使用、优化和除错；9.对大规模系统优化/负载均衡设计等有较深入的理解和经验，熟悉算法结构优先；10.熟悉舆情系统开发优先。岗位福利待遇：1、缴纳社会保险（养老、失业、工伤、生育、医疗等）及住房公积金；2、完善的入职及在职培训机制；3、每年享受带薪年假、法定节假日等福利；4、拥有广阔的职业提升空间，公平的晋升机制 ；5、良好的工作环境和团队氛围 ；6、公司每年为员工免费提供健康体检；7、丰富的公司员工活动。职能类别：系统工程师软件工程师关键字：市场调研市场研究市场调查软件开发系统工程咨询顾问管理咨询周末双休带薪年假奖金丰厚举报分享,16
80元/天,广州华夏经纬市场调查有限公司,实习生/培训生,职位描述：华夏经纬总部位于广州，北方区域总部设在北京，并在长沙、武汉、成都、深圳、昆明、青岛、福州、上海等城市设有分支机构。广州华夏经纬市场调查有限公司是国内最专业的市场研究公司之一，公司接受政府机构、企事业单位的委托，独立完成各类市场研究及管理咨询项目，研究领域涉及电信运营商、烟草、快速消费品、IT互联网、汽车/机械制造、房地产、医药卫生、家居房地产、商业服务等行业。华夏经纬凭借具有深厚专业知识和丰富行业经验的研究咨询队伍、规范严谨的工作流程和质量保证体系以及覆盖全国的市场资源网络，构建了服务不同领域的实力雄厚、结构合理的专业服务团队，在市场研究、第三方满意度测评、消费者行为研究、渠道/商圈规划、媒介研究、数据挖掘与分析、品牌管理等领域为客户提供专业的营销解决方案。广州华夏经纬市场调查有限公司现诚聘实习生/培训生若干名。此岗位将视工作表现、个人特长作储备人员使用，可在不同部门（研究部、项目部等）岗位发展。招聘要求：1、本科及以上学历在校大学生，统计学、经济学、应用心理学、市场营销、公共关系学等专业优先2、形象稳重，谈吐大方，反应灵活3、对数据敏感度较高，有一定逻辑思维能力4、良好的计划、沟通、组织协调能力，良好文字撰写能力职能类别：实习生储备干部关键字：统计研究分析市场加班补助立即上岗员工旅游举报分享,18
10000-14999/月,广州华夏经纬市场调查有限公司,研究员/高级研究员,职位描述：华夏经纬总部位于广州，北方区域总部设在北京，并在长沙、武汉、成都、深圳、昆明、青岛、福州、上海等城市设有分支机构。广州华夏经纬市场调查有限公司是国内最专业的市场研究公司之一，公司接受政府机构、企事业单位的委托，独立完成各类市场研究及管理咨询项目，研究领域涉及电信运营商、烟草、快速消费品、IT互联网、汽车/机械制造、房地产、医药卫生、家居房地产、商业服务等行业。华夏经纬凭借具有深厚专业知识和丰富行业经验的研究咨询队伍、规范严谨的工作流程和质量保证体系以及覆盖全国的市场资源网络，构建了服务不同领域的实力雄厚、结构合理的专业服务团队，在市场研究、第三方满意度测评、消费者行为研究、渠道/商圈规划、媒介研究、数据挖掘与分析、品牌管理等领域为客户提供专业的营销解决方案。广州华夏经纬市场调查有限公司现诚聘研究员/高级研究员岗位职责：参与部分部门客户谈判及研究创新工作，直接执行或者监督调研项目流程中各环节的工作，具体包括：1、项目启动及设计阶段：制定项目日程表并与客户确认、召开项目交接会并分派任务、审核项目预算等；2、项目设计阶段：设计抽样方案、设计定量问卷/深访提纲/座谈会提纲/报告提纲等研究文件并与客户讨论确认、安排与参与定量问卷试访问、制定或审核相关执行文件等；3、项目执行阶段：进行督导培训、督导访员培训、督导实地执行质量与进度、参与深访执行、座谈会前期准备及现场观摩、向客户汇报项目进程等；4、数据处理阶段：组织和督导各部门项目组成员完成问卷编码/复核/建库/录入等工作，制定合码规则和数据分析提纲，审核基础数据报告等；5、报告撰写阶段：撰写报告及安排报告排版、并将报告提交客户讨论确认等；6、项目陈述及提交结果阶段：制作陈述文件并与客户讨论确认、安排并参加项目陈述会、参与解答客户的相关提问、修改及提交最终研究结果并与客户确认、按规定进行项目存档等；7、项目总结阶段：组织项目总结会，总结经验与问题，并提出相关建议；8、协助撰写项目计划书部分内容、根据公司要求积极参与公司组织的各项研究活动；9、遵守公司各项规章制度并积极配合部门日常管理工作、积极参与部门组织的各项活动等团队建设工作；10、客户维护工作。基本要求：本科及以上学历，具有两年以上的市场研究行业工作经历（有电信运营商、烟草快消品、汽车、金融领域相应的实践经验者优先）。专业要求：统计学、社会学、经济学、MBA、市场营销等经济类专业以及相关专业。技能要求：良好的语言表达及沟通能力；计算机操作水平较高，熟练掌握spss、office及相关网络应用等软件；英语CET 6级以上。岗位福利待遇：1、缴纳社会保险（养老、失业、工伤、生育、医疗等）及住房公积金；2、完善的入职及在职培训机制；3、每年享受带薪年假、法定节假日等福利；4、拥有广阔的职业提升空间，公平的晋升机制 ；5、良好的工作环境和团队氛围 ；6、公司每年为员工免费提供健康体检；7、丰富的公司员工活动。职能类别：市场分析/调研人员专业顾问关键字：市场调研市场研究市场调查分析师咨询师咨询顾问管理咨询周末双休带薪年假奖金丰厚举报分享,17
6000-7999/月,广州华夏经纬市场调查有限公司,执行督导,职位描述：华夏经纬总部位于广州，北方区域总部设在北京，并在长沙、武汉、成都、深圳、昆明、青岛、福州、上海等城市设有分支机构。广州华夏经纬市场调查有限公司是国内最专业的市场研究公司之一，公司接受政府机构、企事业单位的委托，独立完成各类市场研究及管理咨询项目，研究领域涉及电信运营商、烟草、快速消费品、IT互联网、汽车/机械制造、房地产、医药卫生、家居房地产、商业服务等行业。华夏经纬凭借具有深厚专业知识和丰富行业经验的研究咨询队伍、规范严谨的工作流程和质量保证体系以及覆盖全国的市场资源网络，构建了服务不同领域的实力雄厚、结构合理的专业服务团队，在市场研究、第三方满意度测评、消费者行为研究、渠道/商圈规划、媒介研究、数据挖掘与分析、品牌管理等领域为客户提供专业的营销解决方案。广州华夏经纬市场调查有限公司现诚聘访问部执行督导岗位职责：1. 对访问员进行培训，联络和管理；2. 项目进度控制和跟进；3. 问卷审核；4. 对整体项目了解，能及时发现问题。岗位要求：1. 诚实守信，讲究卫生，性格开朗，思维敏捷，有良好沟通能力，组织协调能力；2. 工作认真负责，有较强的责任心和很好地执行力，能够适应经常出差；3. 年龄22岁以上，本科以上学历；4. 熟练使用常用办公软件；5. 有相关工作经验者优先。岗位福利待遇：1、缴纳社会保险（养老、失业、工伤、生育、医疗等）及住房公积金；2、完善的入职及在职培训机制；3、每年享受带薪年假、法定节假日等福利；4、拥有广阔的职业提升空间，公平的晋升机制 ；5、良好的工作环境和团队氛围 ；6、公司每年为员工免费提供健康体检；7、丰富的公司员工活动。职能类别：市场分析/调研人员促销主管/督导关键字：周末双休带薪年假奖金丰厚加班补助交通补助节日福利举报分享,23
4500-5999/月,广州华夏经纬市场调查有限公司,行政专员/文控,"职位描述：华夏经纬总部位于广州，北方区域总部设在北京，并在长沙、武汉、成都、深圳、昆明、青岛、福州、上海等城市设有分支机构。广州华夏经纬市场调查有限公司是国内最专业的市场研究公司之一，公司接受政府机构、企事业单位的委托，独立完成各类市场研究及管理咨询项目，研究领域涉及电信运营商、烟草、快速消费品、IT互联网、汽车/机械制造、房地产、医药卫生、家居房地产、商业服务等行业。华夏经纬凭借具有深厚专业知识和丰富行业经验的研究咨询队伍、规范严谨的工作流程和质量保证体系以及覆盖全国的市场资源网络，构建了服务不同领域的实力雄厚、结构合理的专业服务团队，在市场研究、第三方满意度测评、消费者行为研究、渠道/商圈规划、媒介研究、数据挖掘与分析、品牌管理等领域为客户提供专业的营销解决方案。广州华夏经纬市场调查有限公司现诚聘行政文控一名岗位职责：1、参与公司各部门管理制度汇编及完善；2、负责文件的接收、送审、传阅与下发，流转完毕后及时归档（电子档和纸质档）；3、记录人力资源管理基础数据和员工信息档案；建立健全与员工的信息交流平台；4、负责企业显性知识的整理与归档，如项目报告、文献资料、研究成果等的归档与管理；5、项目文档及文字资料的校对、排版、发布工作；6、负责知识管理日常运营工作。挖掘企业内部隐性知识，打造知识共享文化；7、其他常规行政类工作；8、完成上级领导交办的其它工作任务。任职资格1、本科及以上学历，专业不限；2、1年以上行政或质量管理相关工作经验；3、熟悉ISO9001，ISO14001质量管理体系，有企业文控或知识管理工作经验者优先；4、工作认真细致，责任心强。具备较强的表达、沟通、组织、协调能力、分析判断能力；5、具备较强的文字功底和公文处理能力,熟悉使用办公软件。职能类别：行政专员/助理图书管理员/资料管理员关键字：人力资源人事行政管理周末双休带薪年假奖金丰厚交通补助出差补贴节日福利举报分享",21
6000-7999/月,广州市利丰市场调查有限公司,电话客服/电话销售（3100-4000固定底薪）,职位描述：职位要求1.年满18-35周岁2.粤语标准流利，口齿清晰，音质佳3.待人亲切，善与人沟通，性格活泼开朗，有敢于挑战高收入的信心4.具长期服务意向及良好的服务意识工作内容：入职3100-4000固定底薪，本公司于热线中心内，透过电话向香港客户进行联络登记服务，无需外出和轮班。本公司是与香港多间银行及律师行有着长期良好合作伙伴关系的顾问公司，透过本公司对于财务策划上面的专业知识，客户可以轻松面对业务上，以及个人方面的各种财务需求，现公司正大量招聘所述空缺，诚挚邀请有志于从事电话推广业务之优秀人才加入，成为我们的一份子.本公司深信，员工是公司最重要的资产，他们的成长就是公司的成功.工作时间：星期一至五10：00~19：00，中午有(75分钟)吃饭时间，每天另有(40分钟)小息时间，星期六日长短周双休，公司还有根据同事的工作质量，定期搞活动，奖励同事！其余所有假期都是跟香港的公众假期休息。备注：1公司开业至今有5年以上，工作时间稳定无需加班，不用自己销售，只需填写客户基本资料，然后交给销售经理。室内电话，不需外出，不需与客户见面2.利丰市场调查有限公司长期招聘有意者请携带身份证原件、简历至以下地址面试。3.欢迎应届毕业生面试。实习期满，我司将提供实习证明以及实习生转全职员工的机会公司地点：广州市荔湾区人民中路（555）号，美国银行中心（2221）室，面试时间为周一至周五：10：00-19：00。（无需约见，可直接到工作地点面试）职能类别：信贷管理电话销售关键字：渠道销售直销销售电话销售销售团购销售电话客服奖金丰厚人才推荐奖立即上岗员工旅游举报分享,12
10-15万/年,广州华夏经纬市场调查有限公司,爬虫工程师,职位描述：华夏经纬总部位于广州，北方区域总部设在北京，并在长沙、武汉、成都、深圳、昆明、青岛、福州、上海等城市设有分支机构。广州华夏经纬市场调查有限公司是国内最专业的市场研究公司之一，公司接受政府机构、企事业单位的委托，独立完成各类市场研究及管理咨询项目，研究领域涉及电信运营商、烟草、快速消费品、IT互联网、汽车/机械制造、房地产、医药卫生、家居房地产、商业服务等行业。华夏经纬凭借具有深厚专业知识和丰富行业经验的研究咨询队伍、规范严谨的工作流程和质量保证体系以及覆盖全国的市场资源网络，构建了服务不同领域的实力雄厚、结构合理的专业服务团队，在市场研究、第三方满意度测评、消费者行为研究、渠道/商圈规划、媒介研究、数据挖掘与分析、品牌管理等领域为客户提供专业的营销解决方案。广州华夏经纬市场调查有限公司现诚聘爬虫工程师岗位职责：1、负责网络爬虫的核心技术研究和开发；2、负责日常网络数据抓取需求的实现及采集数据的质量监控；3、设计爬虫策略和防屏蔽规则，提升网页抓取的效率和质量；4、分析爬虫系统的技术缺陷，对策略架构做出合理地调整和改进。岗位要求：1、具有本科以及以上学历，计算机相关专业，1年以上数据抓取经验；2、精通Java、Python、C#、PHP语言，有丰富的编程经验；3、熟悉多线程、网络编程，精通网页抓取原理及技术，精通正则表达式，能从结构化的和非结构化的数据中获取信息；4、熟悉爬虫、种子、去重、提取、过滤、分发、DNS cache、异步处理等概念和过程；5、具备信息检索、web挖掘等搜索引擎相关知识，有从事网络爬虫、网页去重、网页信息抓取、网页分类中任一种程序开发经验；6、了解搜索和爬虫开源软件的一种或多种，以及相关原理；7、有文本分析、自然语言处理、搜索引擎、数据挖掘等相关开发经验者；8、了解Hadoop、HBase、HIVE、NoSql数据库等；9、有互联网舆情数据挖掘工作经验者优先。岗位福利待遇：1、缴纳社会保险（养老、失业、工伤、生育、医疗等）及住房公积金；2、完善的入职及在职培训机制；3、每年享受带薪年假、法定节假日等福利；4、拥有广阔的职业提升空间，公平的晋升机制 ；5、良好的工作环境和团队氛围 ；6、公司每年为员工免费提供健康体检；7、丰富的公司员工活动。职能类别：软件工程师高级软件工程师关键字：市场调研市场研究市场调查软件开发系统工程咨询顾问管理咨询周末双休带薪年假奖金丰厚举报分享,14
6000-7999/月,广州市利丰市场调查有限公司,电话文员/销售助理（3100-4000固定底薪）,职位描述：职位要求1.年满18-35周岁2.粤语标准流利，口齿清晰，音质佳3.待人亲切，善与人沟通，性格活泼开朗，有敢于挑战高收入的信心4.具长期服务意向及良好的服务意识工作内容：入职员工3100-4000固定底薪，本公司于热线中心内，透过电话向香港客户进行联络登记服务，无需外出和轮班。本公司是与香港多间银行及律师行有着长期良好合作伙伴关系的顾问公司，透过本公司对于财务策划上面的专业知识，客户可以轻松面对业务上，以及个人方面的各种财务需求，现公司正大量招聘所述空缺，诚挚邀请有志于从事电话推广业务之优秀人才加入，成为我们的一份子.本公司深信，员工是公司最重要的资产，他们的成长就是公司的成功.工作时间：星期一至五10：00~19：00，中午有(75分钟)吃饭时间，每天另有(40分钟)小息时间，星期六日长短周双休，公司还有根据同事的工作质量，定期搞活动，奖励同事！其余所有假期都是跟香港的公众假期休息。备注：1公司开业至今有5年以上，工作时间稳定无需加班，不用自己销售，只需填写客户基本资料，然后交给销售经理。室内电话，不需外出，不需与客户见面2.利丰市场调查有限公司长期招聘有意者请携带身份证原件、简历至以下地址面试。3.欢迎应届毕业生面试。实习期满，我司将提供实习证明以及实习生转全职员工的机会公司地点：广州市荔湾区人民中路（555）号，美国银行中心（2221）室，面试时间为周一至周五：10：00-19：00。（无需约见，可直接到工作地点面试）职能类别：金融/经济研究员信贷管理关键字：渠道销售直销销售电话销售销售团购销售电话客服周末双休带薪年假奖金丰厚全勤奖举报分享,11
10-15万/年,广州华夏经纬市场调查有限公司,数据挖掘工程师,职位描述：华夏经纬总部位于广州，北方区域总部设在北京，并在长沙、武汉、成都、深圳、青岛、昆明、福州、上海等城市设有分支机构。广州华夏经纬市场调查有限公司是国内最专业的市场研究公司之一，公司接受政府机构、企事业单位的委托，独立完成各类市场研究及管理咨询项目，研究领域涉及电信运营商、烟草、快速消费品、IT互联网、汽车/机械制造、房地产、医药卫生、家居房地产、商业服务等行业。华夏经纬凭借具有深厚专业知识和丰富行业经验的研究咨询队伍、规范严谨的工作流程和质量保证体系以及覆盖全国的市场资源网络，构建了服务不同领域的实力雄厚、结构合理的专业服务团队，在市场研究、第三方满意度测评、消费者行为研究、渠道/商圈规划、媒介研究、数据挖掘与分析、品牌管理等领域为客户提供专业的营销解决方案。广州华夏经纬市场调查有限公司现诚聘系统工程师岗位职责：1、利用自然语言处理和机器学习方法，深入研究和解决互联网文本挖掘中的问题；2、基于用户行为及社交网络数据，设计可扩展的机器学习算法，挖掘用户行为特征及社交群体；3、研究自然语言处理领域的前沿技术，涉及技术包括：特征提取、自动分类、主题检测、情感分析等；4、跟踪相关领域的技术发展趋势。岗位要求：1、计算机或相关专业本科及以上学历；2、精通至少一门开发语言（Scala/Java/C++），对数据结构和算法设计有较为深刻的理解；3、熟练掌握自然语言处理领域的基础理论和方法，对NLP有完整的、系统的认识；4、有较强的逻辑思维能力、分析问题和解决问题的能力，积极创新，乐于面对挑战；5、有Hadoop、Spark等大数据相关技术经验者优先；6、有互联网舆情数据挖掘工作经验者优先。岗位福利待遇：1、缴纳社会保险（养老、失业、工伤、生育、医疗等）及住房公积金；2、完善的入职及在职培训机制；3、每年享受带薪年假、法定节假日等福利；4、拥有广阔的职业提升空间，公平的晋升机制 ；5、良好的工作环境和团队氛围 ；6、公司每年为员工免费提供健康体检；7、丰富的公司员工活动。职能类别：算法工程师软件工程师关键字：市场调研市场研究市场调查软件开发系统工程咨询顾问管理咨询周末双休带薪年假奖金丰厚举报分享,15
