salary,company,jobname,jobcont,jobid
8000-20000/月,浩云科技股份有限公司,数据挖掘工程师,职位描述：岗位描述：负责大数据相关的推荐/搜索算法相关的开发和应用。岗位要求：1、本科以上学历，扎实的统计学、数据挖掘、机器学习理论基础，能够利用高等数学知识推演高维数学模型；2、熟悉聚类、分类、回归、图模型等机器学习算法，对常见的核心算法理解透彻，有实际建模经验；3、具有扎实的计算机操作系统、数据结构等编程基础，熟悉至少一门编程语言例如java/python/R；4、深入理解Map-Reduce模型，对Hadoop、Spark、Storm等大规模数据存储与运算平台有实践经验；5、有安防行业实践经验者优先；6、能够积极创新， 乐于面对挑战， 负责敬业；7、优秀的团队合作精神；诚实， 勤奋， 严谨。职能类别：算法工程师数据通信工程师关键字：搜索算法，大数据，java，python/R，Map-Reduce，安防举报分享,16
8000-9999/月,广东亿迅科技有限公司,JAVA开发工程师（大数据方向）,"职位描述：岗位描述：1、协助开发大数据领域的系统2、协助搭建java领域的文本挖掘框架的工具职位要求：1、计算机相关专业，从事JAVA开发1年以上实际经验；2、熟悉整个java生态环境，熟练使用 maven,git等工具3、熟练SQL语法及mysql或oracle数据库应用开发；4、熟练HTML，XML，CSS，javascript等语言；5、熟练使用Eclipse或MyEclipse等开发工具；6、搭建过GATE,lingpipe,stanford paser,dl4j,hanlp等文本挖掘工具的优先；7、搭建过storm，hadoop，spark等大数据框架，并有分析经验者优先。职能类别：软件工程师高级软件工程师举报分享",17
10000-20000/月,广州医慧信息科技有限公司,数据分析工程师,职位描述：任职要求：1、本科以上学历，计算机、统计学相关专业优先，2年以上数据分析工作经验；2、具备良好的逻辑思考和分析能力，熟悉数据收集，数据分析，数据建模和数据挖掘方法；3、至少掌握一种数据分析工具或语言（SPSS/SAS/Matlab/R/Python）；4、掌握数据统计、数据分析方法，有较强的数据敏感度；5、熟悉Oracle、SQLservre、MySQL等常规关系型数据库；6、有大数据技术Hadoop、Spark、Hbase、Hive等使用经验者优先；7、有过医疗行业相关工作经验者优先。岗位职责：1、负责数据分析与挖掘过程中算法的编写和模型的建立；2、负责算法模型的调优工作；3、负责业务数据的标准化、规范化处理；4、负责模型的发布部署，保证模型稳定运行。职能类别：数据库工程师/管理员关键字：数据分析数据库举报分享,13
8000-9999/月,广州佳帆计算机有限公司,JavaEE软件工程师,"职位描述：岗位职责：1、进行项目前期的需求分析, 以及设计和开发等各项工作；2、负责进行框架设计及核心功能模块开发；3、负责解决系统性能、安全、可靠、扩展等方面的问题；4、负责Java后端重难点技术攻关；任职要求：1、本科以上学历，计算机、软件相关专业，5年以上Java开发经验；2、精通JavaEE及面向对象程序设计，对JVM、多线程、NIO等技术有深入了解；3、精通后端主流技术，包括但不限于SpringMVC/Struts, Spring, Memcached/Redis, netty/mina等。4、熟悉Web及前端技术（包括 Javascript，ajax，json，jQuery, ext等开源框架）；5、熟练掌握MySQL数据库、熟悉hadoop/hbase/spark/storm相关技术者优先；6、良好的沟通技能和团队合作能力公司待遇：底薪8000-10000，五险一金，团队旅游，团队聚餐，节假日现金福利，带薪年假，年终奖，年底双薪，15天春节假期。工作地址：广州市中山大道西棠东商业大厦207室工作时间：周一到周五：9:00-12：00，13:00-18:00；周末双休职能类别：软件工程师系统架构设计师关键字：软件工程师JavaEE工程师架构工程师举报分享",14
80000-150000/年,久邦数码,大数据研发工程师（2017校招）,职位描述：大数据研发工程师（广州）招聘人数：1人岗位职责：1、负责APP产品的海量数据处理；2、负责数据平台的开发和维护；3、负责个性化推荐和竞价系统的开发和优化。任职要求：1、本科及以上学历，数学相关专业优先；2、熟悉Shell和Linux开发环境，掌握Java、Python语言优先；3、熟悉SQL，有Hadoop、Hive、Spark、Storm，HBase、Impala、Presto经验优先；4、掌握大数据常用的算法，有数据分析和挖掘经验优先。职能类别：软件工程师举报分享,18
15000-25000/月,广东知云信息科技有限公司,JAVA架构师,"职位描述：招聘要求:1. 精通Java开发，5年以上Java开发经验，具有产品/架构设计经验；2. 对各种Java开发框架有较深的认识和了解（比如ssh,spring mvc,mybatis），对主流开发框架有丰富的开发经验；3. 实际参与过大数据平台项目的规划与建设工作,具有以下至少一项经验：1) 熟悉Hadoop平台及其相关组件，精通MapReduce开发， 1年以上Hadoop开发经验；2) 熟练掌握Hdfs、Hbase 、Hive、Flume、Kafka、MLlib的设计和开发；3) 熟练掌握Storm、Spark Streaming等大数据实时处理框架的一种，具备实时处理框架的设计和开发能力；4. 熟悉企业应用设计模式、面向对象的分析和设计技术，包括设计模式、UML建模等；岗位职责:1. 搭建大数据应用平台，完成相应的系统架构及系统框架和核心代码的编写；2. 指导软件工程师的日常开发工作；解决开发中的技术问题；3. 协助完成项目的测试、系统交付工作，对项目实施提供支持；职能类别：技术支持/维护经理举报分享",12
8000-15000/月,方欣科技有限公司,Hadoop/Spark开发工程师,"职位描述：岗位职责：1．负责Hadoop/Spark集群调优;2．负责指导其他软件工程师基于Hadoop/Spark的应用开发;3．主导维护和管理大规模Hadoop/Spark集群，参与新技术选型和调研，解决不断增长的海量数据带来的存储和计算挑战;4．大数据平台数据清洗、转换、建模的开发工作;5．负责流式计算平台开发结合业务的应用、处理实时数据、实时应用场景的开发;6．参与Hadoop/Spark集群的搭建、管理、架构工作。任职要求：1. 大专以上学历，有1年以上相关工作经验;2. 对Hadoop / Spark 生态系统组件Hive、Pig、ZooKeeper等熟悉，对Kafka熟悉，有实际的集群搭建和调优经验者优先;3. 精通JAVA语言开发,有大数据平台架构经验优先;4. 熟悉Linux开发环境；熟练掌握Python、Shell、Perl中的一种;5. 掌握或了解非结构化数据的保存、分析、访问、调优，掌握或使用过至少一种Nosql的开源产品，并真正用于项目中，如mongoDB、 Redis、Cassandra等;6. 良好的沟通能力和团队协作能力。职能类别：软件工程师高级软件工程师关键字：HadoopSpark大数据java举报分享",1
8000-9999/月,广州数鹏通科技有限公司,数据挖掘工程师,职位描述：岗位职责：1.负责数据挖掘领域的分析研究，包括数据挖掘算法的分析研究，特定项目的数据挖掘模型的需求分析、建模；2.运用自然语言处理、机器学习等方法和技术，挖掘和分析海量互联网数据；3.数据平台建设，分析企业业务部门实际需求，规划、推进公司数据平台的建设及维护。任职要求：1.数学或计算机相关专业，本科及以上学历，有1年以上相关数据挖掘产品设计相关经验，侧重数据挖掘、数据产品；2.具有扎实的计算机操作系统、数据结构等编程基础，熟悉Java、Scala、Python语言；3.对Hadoop、Hive、Spark、Storm等大规模数据存储与运算平台有实践经验；4.热爱研究型的工作，良好的分析问题和解决问题的能力，良好的沟通能力和快速学习能力。办公地点：五山办公点职能类别：算法工程师软件工程师关键字：数据挖掘举报分享,15
15000-19999/月,广州联图电子科技有限公司,软件技术经理,"职位描述：岗位职责:1、带领团队负责核心关键技术研发及技术预研，负责编写核心代码实现产品功能模块；2、参与公司产品需求评审，架构设计、功能设计及系统评估，代码评审及进度控制及跟踪，编写相关文档；3、解决产品可能出现的功能、性能、稳定性问题，组织并参与技术方案、设计评审；4、负责项目团队的建设和管理，包括工作分配、指导培训、检查监督等。任职要求:1、五年或以上软件开发经验，三年及以上大型互联网项目架构设计、技术管理指导或实施项目管理工作经验；2、全日制普通高等院校计算机及相关专业本科及以上学历；3、熟练掌握移动互联网及web网站开发项目技术架构，熟练掌握各种设计模式，熟悉网站测试技术及网站产品质量控制；4、精通spring,JAVA多线程编程；精通MangoDB、postgreSQL等数据库，精通hadoop/spark等大数据环境集群计算系统。熟练使用Maven，SVN，intelij Idea等开发管理工具；5、在建设高并发高性能用户信息库、B2B、B2C大型互联网站性能优化、大型互联网架构和相关技术的其中某一个或几个技术有直接研发和实施经验；6、熟练掌握原型设计及建模工具，具备相当的需求分析和架构设计能力；7、良好规范的文档编写整理能力；8、思维开放，容易相处，具有较强的组织、计划、控制、沟通协调能力、责任心、敬业态度、创新能力、分析及解决问题能力、抗压能力、团队管理能力和敏锐的IT/通信/互联网产品洞察和预测能力；9、对技术有强烈的兴趣，喜欢钻研，有技术攻关的毅力，有激情有创新精神和学习新技术能力；10、对技术发展具有良好的理解能力，对信息技术领域的新信息、新知识具有相当的敏感性，能够迅速更新自身的知识内容；11、具有高涨的工作激情，具有实现自我价值的期望和意愿，有实现目标的能力和原动力；有成就企业、行业的理想。职能类别：高级软件工程师技术总监/经理举报分享",10
8000-15000/月,广东瑞普科技股份有限公司,大数据开发工程师,职位描述：岗位职责:1、参与大数据平台的搭建、开发和维护工作；2、负责大数据采集、清洗、整合等工作；3、负责大数据平台文本挖掘分析等工作；4、负责BI以及报表开发；5、参与新技术选型和调研，解决不断增长的海量数据带来的存储和计算挑战。任职资格:1、本科以上学历，计算机、信息管理等相关专业；2、深厚的Java功底，3年及以上的并发编程经验，参与过分布式高性能服务的设计开发过程，有大规模分布式系统的实践经验；3、熟悉hadoop/kafka/flume/storm/spark/zookeeper等相关技术；4、熟悉常见数据库如oracle/mysql，有Nosql数据库如mongoDb等经验者优先；5、熟悉redis或memcache者优先；6、对于分布式系统有一定了解，有海量数据处理经验；7、具备较强学习能力，良好的沟通能力和团队合作意识。职能类别：数据库工程师/管理员举报分享,11
