salary,company,jobname,jobcont,jobid
50元/小时,沈阳汇丰网络科技有限公司,苹果APP试玩员 一单一结(在家可做)实习生客服文员前台,职位描述：现长期招聘手机APP试玩 兼　职 人 员，工作不限时间地点，只要有手机就可以做！有意加入的朋友，打开微信-通讯录-公众号-右上角“+”搜索微钱宝并关注，直接在微钱宝微信公众平台上操作。无需申请职位，投递简历， 里面有详细的指导介绍，十分简单！工作内容：1、工作是通过我们的平台领取指定试玩任务单个任务只需3分钟试玩，帮助软件提高同类软件中展示排名；2、因为是在官方应用商店中下载软件，所以百分百安全可靠；3、试玩成功后会有消息提示，收到成功提示后可以删除下载的软件，并进行下一个软件的试玩，不必担心内存不足的问题。薪酬说明：1、苹果每个软件的试玩薪酬为2-4元，安卓每个软件的试玩薪酬1-2元，试玩成功后，薪酬由平台发放及时到账；2、薪酬统一通过支付宝或微信钱包发放；3、郑重承诺：不收取任何押金会费。报名方式：请添加微信公众号 ：【微钱宝】（打开微信右上角“+”，依次点击“添加朋友”“公众号”搜索“app-33”并关注 ，注：中间“-”为减号，也可直接搜索 微钱宝）直接在微钱宝微信公众平台上操作即可。里面有详细的指导介绍，十分简单！职能类别：网店/淘宝客服大学/大专应届毕业生关键字：学徒自由轻松大学生临时工实习生文员客服推广专员日结举报分享,21
50元/小时,沈阳汇丰网络科技有限公司,手机APP试玩（日结，不限时间地点）,职位描述：现长期招聘手机APP试玩 兼　职 人 员，工作不限时间地点，只要有手机就可以做！有意加入的朋友，打开微信-通讯录-公众号-右上角“+”搜索微钱宝并关注，直接在微钱宝微信公众平台上操作。无需申请职位，投递简历， 里面有详细的指导介绍，十分简单！工作内容：1、工作是通过我们的平台领取指定试玩任务单个任务只需3分钟试玩，帮助软件提高同类软件中展示排名；2、因为是在官方应用商店中下载软件，所以百分百安全可靠；3、试玩成功后会有消息提示，收到成功提示后可以删除下载的软件，并进行下一个软件的试玩，不必担心内存不足的问题。薪酬说明：1、苹果每个软件的试玩薪酬为2-4元，安卓每个软件的试玩薪酬1-2元，试玩成功后，薪酬由平台发放及时到账；2、薪酬统一通过支付宝或微信钱包发放；3、郑重承诺：不收取任何押金会费。报名方式：请添加微信公众号 ：【微钱宝】（打开微信右上角“+”，依次点击“添加朋友”“公众号”搜索“app-33”并关注 ，注：中间“-”为减号，也可直接搜索 微钱宝）直接在微钱宝微信公众平台上操作即可。里面有详细的指导介绍，十分简单！职能类别：兼职实习生关键字：学徒自由轻松大学生临时工实习生文员客服推广专员日结举报分享,20
50元/小时,沈阳汇丰网络科技有限公司,苹果手机APP试玩（在家可做，日结）,"职位描述：试客是一个新兴工作，工作内容简单，就是对一些知名的手机APP（如携程、京东）进行试用，试用就是打开APP后随便浏览几分钟即可获得1-10元，因此只要会用手机都会做。只需要利用自己的空闲时间在手机上领取任务并完成即可。地址不限制，有wi-fi的环境就可。打开微信-通讯录-公众号-点击右上角（+）搜索微钱宝并关注， 即可开始工作！ 里面有详细的指导介绍，十分简单！郑重承诺：本公司不收取任何费用！！！申请要求：拥有的iPhone或iPad或iPad mini中的任何一个，都可以申请此工作，此工作为简 单 兼　职。（安卓用户报酬略低，有兴趣亦可尝试）具体内容：1.请添加微信公众号 ：【微钱宝】（打开微信右上角“+”，依次点击“添加朋友”“公众号”搜索“app-33”并关注 ，注：中间“-”为减号，也可直接搜索 微钱宝）；2.无需投递简历,直接关注，按照步骤操作即可；3.下载试玩APP即时获得任务薪酬，每个只需试玩3-5分钟,每个任务的报酬为1-10元，计件工资，通过支付宝或企业微信支付薪酬；4.所有的任务APP都是在苹果官方的Appstore中下载，因此非常安全！试玩成功后可以删除下载的App，不占用内存。职能类别：兼职实习生关键字：学徒自由轻松大学生临时工实习生文员客服推广专员在家工作举报分享",17
,汇丰银行（中国）有限公司广州分行,Home Mortgage Loan Business Develop Sales Representative Guangzhou HSBC China,"职位描述：DescriptionRetail Banking and Wealth Management (RBWM)Retail Banking and Wealth Management leverages HSBC’s global retail banking expertise and wealth management capabilities to deliver a broad range of world-class retail banking solutions to millions of customers. Driving for growth in key markets around the world, the business comprises areas such as retail banking, wealth management, insurance and asset management, with a focus on customer-centric propositions and innovative and efficient distribution channels that will differentiate our customer experience and deliver market leading retail banking and wealth management solutions.We are currently seeking an experienced professional to join our team.In this role, you will:- The job holder needs to proactively acquire new HML application from on-site sales activities or other channels developed by HML team, and follow up new HML cases referred by RM/AO/CSO or other business functions so as to contribute to the overall HML business achievement.- He/she needs to prepare the HML application package with high documentation quality ensured and follow up approval and drawdown process.- He/she also needs to ensure the satisfactory customer experience level in HML sales.- Meanwhile, he/she can also refer target customers to branch for account opening.- He/she is at higher experience level in developing HML business.  As such he/she needs to experience sharing with fresh HML Sales Representative.QualificationsTo be successful in the role, you should meet the following requirements:- Proven ability in mobile sales.- Current product/market knowledge.- Excellent customer service skills.- Excellent interpersonal, leadship and motivation skills.- Strong sales and organization ability and problem solving skills.- Result driven and able to work under pressure.- Good spoken and written English.You’ll achieve more when you join HSBC.www.hsbc.com.cn/careersHSBC is committed to building a culture where all employees are valued, respected and opinions count. We take pride in providing a workplace that fosters continuous professional development, flexible working and opportunities to grow within and inclusive and diverse environment. Personal data held by the Bank relating to employment applications will be used in accordance with our Privacy Statement, which is available on our website.HSBCNYFIssued by HSBC Bank (China) Company Limited职能类别：其他举报分享",14
50元/小时,沈阳汇丰网络科技有限公司,手机APP试玩（在线立结，在家赚钱）实习生客服文员等,"职位描述：试客是一个新兴工作，工作内容简单，就是对一些知名的手机APP（如携程、京东）进行试用，试用就是打开APP后随便浏览几分钟即可获得1-10元，因此只要会用手机都会做。只需要利用自己的空闲时间在手机上领取任务并完成即可。地址不限制，有wi-fi的环境就可。报名方式：打开微信-通讯录-公众号-点击右上角（+）搜索微钱宝并关注， 即可开始工作！ 里面有详细的指导介绍，十分简单！郑重承诺：本公司不收取任何费用！！！申请要求：拥有的iPhone或iPad或iPad mini中的任何一个，都可以申请此工作，此工作为简 单 兼　职。（安卓用户报酬略低，有兴趣亦可尝试）具体内容：1.请添加微信公众号 ：【微钱宝】（打开微信右上角“+”，依次点击“添加朋友”“公众号”搜索“app-33”并关注 ，注：中间“-”为减号，也可直接搜索 微钱宝）；2.无需投递简历,直接关注，按照步骤操作即可；3.下载试玩APP即时获得任务薪酬，每个只需试玩3-5分钟,每个任务的报酬为1-10元，计件工资，通过支付宝或企业微信支付薪酬；4.所有的任务APP都是在苹果官方的Appstore中下载，因此非常安全！试玩成功后可以删除下载的App，不占用内存。职能类别：兼职实习生关键字：学徒自由轻松大学生临时工实习生文员客服推广专员在家工作举报分享",16
50元/小时,沈阳汇丰网络科技有限公司,手机APP试玩（在线立结，在家赚钱）实习生客服文员等,"职位描述：试客是一个新兴工作，工作内容简单，就是对一些知名的手机APP（如携程、京东）进行试用，试用就是打开APP后随便浏览几分钟即可获得1-10元，因此只要会用手机都会做。只需要利用自己的空闲时间在手机上领取任务并完成即可。地址不限制，有wi-fi的环境就可。报名方式：打开微信-通讯录-公众号-点击右上角（+）搜索微钱宝并关注， 即可开始工作！ 里面有详细的指导介绍，十分简单！郑重承诺：本公司不收取任何费用！！！申请要求：拥有的iPhone或iPad或iPad mini中的任何一个，都可以申请此工作，此工作为简 单 兼　职。（安卓用户报酬略低，有兴趣亦可尝试）具体内容：1. 请添加微信公众号 ：【微钱宝】（打开微信右上角“+”，依次点击“添加朋友”“公众号”搜索“app-33”并关注 ，注：中间“-”为减号，也可直接搜索 微钱宝）；2. 无需投递简历,直接关注，按照步骤操作即可；3. 下载试玩APP即时获得任务薪酬，每个只需试玩3-5分钟，每个任务的报酬为1-10元，计件工资，通过支付宝或企业微信支付薪酬；4. 所有的任务APP都是在苹果官方的Appstore中下载，因此非常安全！试玩成功后可以删除下载的App，不占用内存。职能类别：兼职实习生关键字：学徒自由轻松大学生临时工实习生文员客服推广专员在家工作举报分享",18
50元/小时,沈阳汇丰网络科技有限公司,"手机试玩APP（在家工作,无需经验）","职位描述：试客是一个新兴工作，工作内容简单，就是对一些知名的手机APP（如携程、京东）进行试用，试用就是打开APP后随便浏览几分钟即可获得1-10元，因此只要会用手机都会做。只需要利用自己的空闲时间在手机上领取任务并完成即可。地址不限制，有wi-fi的环境就可。报名方式：打开微信-通讯录-公众号-点击右上角（+）搜索微钱宝并关注， 即可开始工作！ 里面有详细的指导介绍，十分简单！郑重承诺：本公司不收取任何费用！！！申请要求：拥有的iPhone或iPad或iPad mini中的任何一个，都可以申请此工作，此工作为简 单 兼　职。（安卓用户报酬略低，有兴趣亦可尝试）具体内容：1. 请添加微信公众号 ：【微钱宝】（打开微信右上角“+”，依次点击“添加朋友”“公众号”搜索“app-33”并关注 ，注：中间“-”为减号，也可直接搜索 微钱宝）；2. 无需投递简历,直接关注，按照步骤操作即可；3. 下载试玩APP即时获得任务薪酬，每个只需试玩3-5分钟，每个任务的报酬为1-10元，计件工资，通过支付宝或企业微信支付薪酬；4. 所有的任务APP都是在苹果官方的Appstore中下载，因此非常安全！试玩成功后可以删除下载的App，不占用内存。职能类别：兼职实习生关键字：学徒自由轻松大学生临时工实习生文员客服推广专员日结举报分享",19
,汇丰人寿保险有限公司,"Manager, Business Development(Insurance BDM)","职位描述：Job DescriptionManager, Business Development(Insurance BDM), HSBC Life Insurance Guangdong Branch : 00007M45DescriptionManager, Business Development(Insurance BDM), HSBC Life Insurance Guangdong Branch(No. of Vacancy: 1; Location: Guangzhou)We see a future with so much to offer. Do you?Around the world, growth is bringing new prosperity; businesses are pioneering new trade routes; and new centres of wealth and influence are emerging. At HSBC, we’re inspired by the ways the world is changing for our business and for our customers. That’s why we’re looking to connect with the best and the brightest people from across the globe. With so much to offer, we’re ideally placed to help you realise your ambitions.HSBC Life Insurance Company LimitedHeadquartered in Shanghai, HSBC Life Insurance Company Limited was established in August 2009.  It is a 50-50 joint venture between HSBC Insurance (Asia) Limited and The National Trust Ltd.  With a registered capital of RMB1025 million, the Company serves affluent and high-net-worth customers in Shanghai and Beijing through HSBC and Hang Seng bank's distribution channels.  The Company offers comprehensive insurance services covering protection, retirement, children’s education, legacy planning and wealth growth to individuals and families.We are currently seeking an experienced professional to join this team in the role of Manager, Business Development(Insurance BDM), HSBC Life Insurance Guangdong Branch.In this role, you will:- Grow and retain sub-branch of  banking partners relationships and  insurance revenue.- Provide excellent delivery of service to both frontline staff of banking partners and customers- Facilitate the successful implementation of our compensation and incentive programs- Lead and support for frontline sales of banking partners- Ensure that sales operations and activities undertaken comply with legal & regulatory requirements and Group’s directionQualificationsTo be successful in the role, you should meet the following requirements:- Reasonable experience in sales force (10 years ), sales management (5 years) and bancassurance (3-5 years)- Possess board-based knowledge of the Insurance business and China practices- Experience in strategic planning exercise- Good influential skills – able to influence people of different cultures and backgrounds- Strong verbal and written communication skills in both English and Chinese. Must be able to communicate effectively in Putonghua.- Excellent interpersonal skills – excellent customer relationship management- Strong leadship – able to lead, inspire, motivate and develop the teams to deliver business performance and a team player- Other professional qualification and higher degrees (MBA) an added advantage: CFP, CMFA, CIAM, FLMI, AMTC.You’ll achieve more when you join HSBC.HSBC is committed to building a culture where all employees are valued, respected and opinions count. We take pride in providing a workplace that fosters continuous professional development, flexible working and opportunities to grow within and inclusive and diverse environment. Personal data held by the Company relating to employment applications will be used in accordance with our Privacy Statement, which is available on our website.Issued by HSBC Life Insurance Company LimitedJob Field : InsurancePrimary Location : Asia Pacific-China-Shanghai-ShanghaiSchedule : Full-time Shift : Day JobType of Vacancy : Country vacancyJob Posting : 01-Jun-2016, 19:51:44 Unposting Date : 31-Aug-2016, 23:59:00职能类别：保险业务经理/主管其他举报分享",11
50元/小时,沈阳汇丰网络科技有限公司,手机试玩APP（日结，不限时间地点）,"职位描述：试客是一个新兴工作，工作内容简单，就是对一些知名的手机APP（如携程、京东）进行试用，试用就是打开APP后随便浏览几分钟即可获得1-10元，因此只要会用手机都会做。只需要利用自己的空闲时间在手机上领取任务并完成即可。地址不限制，有wi-fi的环境就可。报名方式：打开微信-通讯录-公众号-点击右上角（+）搜索微钱宝并关注， 即可开始工作！ 里面有详细的指导介绍，十分简单！郑重承诺：本公司不收取任何费用！！！申请要求：拥有的iPhone或iPad或iPad mini中的任何一个，都可以申请此工作，此工作为简 单 兼　职。（安卓用户报酬略低，有兴趣亦可尝试）具体内容：1. 请添加微信公众号 ：【微钱宝】（打开微信右上角“+”，依次点击“添加朋友”“公众号”搜索“app-33”并关注 ，注：中间“-”为减号，也可直接搜索 微钱宝）；2. 无需投递简历,直接关注，按照步骤操作即可；3. 下载试玩APP即时获得任务薪酬，每个只需试玩3-5分钟，每个任务的报酬为1-10元，计件工资，通过支付宝或企业微信支付薪酬；4. 所有的任务APP都是在苹果官方的Appstore中下载，因此非常安全！试玩成功后可以删除下载的App，不占用内存。职能类别：兼职实习生关键字：学徒自由轻松大学生临时工实习生文员客服推广专员日结举报分享",0
,汇丰软件开发（广东）有限公司,IT Trainee ( GuangZhou ),"职位描述：Programme IntroductionOur two-year 2017 Global Graduate Programme provides opportunities to develop your skill on various IT domains and is a potential stepping stone to becoming a future technical lead in Financial IT industry.Eligible Requirementso Fresh graduate in 2017o A Bachelor degree or aboveo Graduatein Computer Science,IT engineering,Mathematics, Computation or arelated disciplineo Chinese nationalityWho we are looking forWe want forward-thinking, driven, perceptive graduates who enjoy being part of a team and are excited by new ideas. People are dependable and open to different cultures.Potential career pathsThe Graduate Programme is the beginning of an exciting, long-term international career. Wherever you join us, we will support, guide and develop you, while our leaders will help you to be the best you can be, reflecting your interests and capabilities.Learning, development and supportWe’ll provide the support, tools and opportunities for you to drive your own career development. Your training will be carefully structured, with events and other opportunities to build your wider HSBC and financial IT knowledge. You’ll have regular access to senior  leaders for coaching and advice, while constructive feedback will enable you to measure your performance. You’ll be assigned a mentor and buddy, who can offer guidance and support.You will have chance to learn the knowledge in any of the suitable technologies and/or domain, including the following:Cloud-based solutionsDeploying mix of screen scrapping, automation on the glass and/or ICR/OCR offeringsOpen Source development toolsDigital channelsVarious domains at a high level, such aso Commercial Bankingo Global Banking & Marketso Global Private Banking ITo Retail Banking and Wealth Managemento Risko IT Infrastructure DeliveryVarious technical stream, such aso Javao Htmlo Architectureo DatabaseVarious services and controls, within various domains, such aso Foreign Exchange, Equities, Fixed Incomeo Portfolio Managemento Risk and Complianceo Management Information SystemsWhat you’ll needTo be considered for the programme, you will be a graduate who:Perform a mix of development, business analysis, hands-on designing, production support and face off to several user groups.Willingness to engage with business users and key IT stakeholders outside of direct area of responsibility and manage expectations.Excellent problem-solving, interpersonal and analytical skills.Self-motivated, enthusiastic and proven rapid learning ability.Strong commercial focus - sensitive to business needs and is solution orientated.High standard of written and oral communication and strong presentation skills.What you’ll be responsible:Understand the business requirements and working closely with business users and IT teams to develop solutions/software to support the businesses.Build,deliver and test applications using traditional Waterfall SDLC and Agile methodologies and perform regression testing on all devices.Mandatory to understand the security protocols as well as compliance and regulations.Understand the deployment procedure.Benefits:We offer a comprehensive, market-competitive pay and benefits package according to your role and location, along with flexible ways of working to help you achieve a healthy work-life balance.职能类别：培训生举报分享",8
