salary,company,jobcont,jobname
6000-9000/月,三七互娱（上海）科技有限公司,职位描述：岗位要求：1、负责协助税务经理组织拟订企业整理税务计划；2、负责管理各种发票，包括购买、领取、登记、对外开具发票等；3、负责办理公司各种税务更换证及年检工作；4、负责协助编制及进行公司各税种的纳税申报；年末协助进行各公司的企业所得税汇算清缴；5、负责协助申请、报批公司有关税收优惠政策（研发费用加计扣除、软件企业的税收优惠等）的手续，加强公司同税务、统计等部门的联络6、负责准备税务检查的相关资料7、学习并搜集相关税收法规；对公司新项目，协助完成相关税收筹划方案8、负责给予公司其他业务部门相关税务咨询，确保公司日常运作9、负责完成主管及经理安排的其他工作任职资格：1、了解掌握国家、地方的财税政策；熟悉双软年检、各地区税收优惠政策及软件企业退税政策等；2、财务、税务或相关专业本科以上学历；3、有同类岗位2年以上工作经验，熟悉国家、地方各项税务政策，有具体办税经验；4、能主动思考，独立工作能力强，时间管理能力强，能适应必要的出差，以完成税务申报工作；5、善于沟通，工作仔细，认真负责，承压能力强，有团队合作精神及快速学习能力。6、有软件行业或集团公司从业经验优先，具备税务师职称优先。7、有会计师事务所工作经验优先考虑。职能类别：税务专员/助理关键字：带薪年假奖金丰厚全勤奖人才推荐奖话补立即上岗举报分享,税务专员
5000-8000/月,三七互娱（上海）科技有限公司,职位描述：岗位职责：1、负责手游渠道的运营工作支持，跟进各渠道合作情况；2、定期输出渠道运营数据报告，跟踪渠道投放效果；3、深入分析合作渠道特性，制定合理、有效的渠道产品及运营策略；4、策划渠道侧运营活动，对渠道产品、流程及页面进行策划或优化，提升运营指标。任职要求：1、熟悉手游市场，了解手游运营过程；2、有渠道运营工作经验优先；3、具有良好的数据敏感度、数据分析能力及广告素材优化能力；4、具备优秀的自我驱动力、沟通能力、团队协作能力及跨部门协作推动力。职能类别：网络推广专员其他关键字：渠道运营渠道数据数据分析素材优化游戏运营举报分享,渠道运营专员
5000-8000/月,三七互娱（上海）科技有限公司,职位描述：岗位职责：1、负责微信公众号的工作规划和整体运营；2、兼顾平台积分商城运营；3、善于数据分析，对平台的运营数据能够进行分析汇总成各种报表；4、使用有效手段发展粉丝和拓展积分业务使用率；5、对客服消息的归类分析，对客服团队有一定指导；6、对热点、爆点要有足够敏感度，能做出相应的宣传。任职要求：1、精通相关平台的运营方式；2、有团队合作精神，能与产品、技术、客服人员交流配合，善于思考分析；3、扎实的文字功底，具备较强的文案策划功底以及活动策划能力，熟悉微博、微信运营、口碑营销；4、能够单独完成项目创意、策划到执行；5、擅长社会化媒体平台（微博、微信、论坛）营销者，重度移动互联用户；6、有微信微博运营或积分商城工作经验优先。职能类别：网站编辑网站营运专员关键字：平台运营内容编辑新媒体运营举报分享,平台运营专员（手游）
15000-19999/月,三七互娱（上海）科技有限公司,职位描述：职位描述：1、主要负责集团泛娱乐（游戏、影视、IP合作、音乐等等）业务的合同审核及风控体系的搭建；2、参与商业谈判，起草相关交易文件，提出法律优化建议；3、投资&并购项目的法律支持，具有开展专项法律调研及出具针对性解决方案的能力；4、围绕知识产权以及商事争端开展法律风险识别，并处理相关争议解决事项，捍卫公司利益。任职要求：1、知名法学院硕士学位获得者（特别优秀者，本科亦可），执业4年以上或具有同等法律工作经验，通过司法考试；2、主要从事非诉领域的法务工作，具有为业内领先的互联网或游戏公司出具法律意见的优先考虑；英文可以作为工作语言的优先考虑；3、品行正直，工作踏实细致，积极主动，乐于分享，具有抗压能力和团队领导能力，能够独当一面。职能类别：法务经理法务主管/专员举报分享,集团法务主管/经理
15000-25000/月,三七互娱（上海）科技有限公司,职位描述：岗位职责：1. 负责公司广告系统算法平台的搭建，效果评估方案的制定；2. 负责广告算法团队建设任职资格：1. 工科、计算机、数学、统计学或其他相关专业本科以上学历；2. 3年以上大数据或机器学习算法开发经验3. 有广告相关算法（Selection， Ranking，CTR预估，定向推荐）或系统经验者优先；4. 熟悉Linux开发环境和相关脚本语言；5. 有分布式系统设计、数据挖掘、海量数据处理等相关经验者优先；职能类别：互联网软件开发工程师关键字：数据广告挖掘java技术主管举报分享,广告数据挖掘工程师
8000-12000/月,三七互娱（上海）科技有限公司,职位描述：岗位职责:1、负责金流/游戏行业市场调查，市场资源洽谈，牵头开展；2、各国政策，游戏行业调研，同业情况调研；3、财务应收催收，谷歌、苹果、FB的政策分析；4、负责各游戏上线的支付流程沟通及测试工作；5、海外各国英文市场日常工作沟通交流。职能类别：公关专员关键字：渠道金流海外支付举报分享,海外支付渠道专员
15000-19999/月,三七互娱（上海）科技有限公司,职位描述：岗位职责：1、根据需求文档，使用LayaAIR引擎进行手机游戏开发；任职要求：1、至少1年以上游戏开发工作经验；2、精通javascript等前端开发技术；3、熟悉html5游戏开发框架，能独立开发；4、熟悉LayaAIR或Egret引擎，对跨平台开发有一定的经验；5、有LayaAIR引擎游戏开发经验、ARPG游戏开发经验者优先。职能类别：Web前端开发Flash设计/开发关键字：H5HTML5前端工程师举报分享,HTML5工程师
10000-20000/月,三七互娱（上海）科技有限公司,职位描述：职位描述：1、外联系互联网、文化、工商等等监管单位政府关系工作；2、了解政府对企业政策法规，文化监管互联网监管等机构；3、协助财务及公司对工商、税务、主管部门资质办理及各项日常工作配合；4、及时了解地方各项与公司事务相关的政策法规；5、政府层面提高企业的认知度和品牌形象；6、完成领导交办的其他日常工作；任职要求：1、本科以上学历，三年公关或商务工作经验（互联网行业优先）优先；2、对文化产业、信息产业、互联网产业发展趋势有良好认知；熟知广州地区政府事务，互联网行业优先；3、具有较强的社会活动能力、良好的人际交往与协调能力、逻辑思维与表达能力；4、具有优秀的文字撰写与分析能力，能够独立撰写政府公文及工作报告，政府项目申报经验.职能类别：公关经理公关主管举报分享,公共事务主管/经理（政府方向）
20000-35000/月,三七互娱（上海）科技有限公司,职位描述：1.熟悉Google ，Facebook等常用的海外推广渠道，能够熟练进行公司海外APP产品的推广投放，并分析渠道推广数据反馈，优化推广效率和效果；2.快速建立网络推广的渠道，制定全年网络广告投放的工作计划（包括：投放策略、预算制定及管理等），引入流量、带来新用户；3.对网络广告投放效果进行监控；与活动策划、运营、商务拓展团队进行紧密配合，共同实现用户活跃的目标。4.关注目标海外市场的发展状况，深入了解当地用户习惯，依据产品特点，制定推广计划；5.熟悉关于全球移动应用推广趋势。职能类别：市场/营销/拓展总监关键字：海外媒体广告总监举报分享,海外广告媒体副总监
8000-12000/月,三七互娱（上海）科技有限公司,职位描述：岗位职责：1.开展公司各流程（包括业务和财务）的常规审计，包括分析、梳理流程中现存的风险点，评价流程设计的合理性、风控点设置的有效性和测试实际执行的有效性，并据此提出优化建议，出具审计报告，完善对应制度；2.开展专项审计及审计调查工作，负责审计报告和审计调查报告相关资料与数据分析和评价审计证据，编辑审计工作底稿，形成审计结论，出具审计报告，向管理层汇报；3.协助上级跟踪审计缺陷的整改情况；4.独立或协助上级完成部门各类审计工作，向上级汇报，并协助各类报告的编制和维持高质量的文档记录。职位要求：1.具有本科及以上学位，会计、财务管理等相关专业优先。具备专业资格优先考虑，例如CICPA/ CISA/CIA等。2.具有2年或以上四大会计师事务所工作经验或相当的内部审计工作经验，四大管理咨询部门和/或熟悉网络游戏企业的内部工作流程和行业特点优先考虑。3.对企业的内部控制、业务流程以及风险和合规性程序的审计有良好了解，并且掌握内控流程分析、数据处理、数据分析。熟悉《企业企业内部控制基本规范》及其应用指引优先考虑。4.有良好的逻辑思维能力和较强的学习能力，工作细致、综合分析能力强，具有优秀的口头和书面沟通和协调能力，能独立完成任务。5.良好的计算机使用技能，并具备基础的英语能力。本岗位：不需出差。职能类别：审计经理/主管举报分享,内审主管
