salary,company,jobname,jobcont,jobid
15-20万/年,星河控股集团有限公司,会计,职位描述：三年以上房地产企业财务会计工作经验，本科以上学历（1）熟悉会计法规，税收法规和相关财政政策；（2）熟练使用财务软件和常用办公软件；（3）具有一定的沟通能力和执行力。职能类别：其他举报分享,11
10000-14999/月,星河控股集团有限公司,人力资源经理,职位描述：1、负责公司日常人力资源工作；2、本科以上相关专业，大型地产公司同等工作经验。职能类别：其他人事经理举报分享,13
8-10万/年,星河控股集团有限公司,IT专员,职位描述：1、本科以上学历，计算机类专业，年龄26岁以上，五年以上网络及计算机管理方面工作经验；2、熟悉大中型企业网络规范及架构，熟悉windows域规划及域服务器相关应用，有OA及ERP实施应用经验，能快速解决办公电脑及周边设备、网络、电话等故障。职能类别：信息技术专员举报分享,8
3000-4499/月,星河控股集团有限公司,营销策划文员,职位描述：资料管理1. 负责营销策划部资料的会签、建档、保存、借阅及检索工作；2. 负责客户结款相关数据库的建立及维护； [傅婷1]3. 负责整理相关合作单位的信息存档[D2]4. 负责与客户签订按揭合同的结款银行联络。[傅婷3]日常内勤工作1. 负责部门学习记录及会议纪要整理；2. 负责部门各项费用的报销；3. 负责办公用品的统计、领取、管理和发放；4. 协助部门经理开展内部绩效考核；5. 负责ISO9000文件内审工作，开展相关培训工作，严格按照文件规范来执行并完成相关记录；6. 负责部门周报汇总的上报。7. 负责登记营销推广费用、报销费用，并与财务对接；8. 编制完成部门营销费用预算及整合各项目营销费用预算表；9. 编制完成财务计划分析对比表，及时进行费用预警；其他1. 参与编制和完善营销策划工作程序，并保证其贯彻执行；2. 配合其他部门和岗位的工作，完成上级领导交办的其他任务。要求：1. 本科学历，文科类专业，1年以上营销策划类相关工作经验，有较强的文字功底，沟通能力强。职能类别：销售助理行政专员/助理举报分享,12
10000-14999/月,星河控股集团有限公司,景观工程师/主管,职位描述：工作经验:五年以上施工管理经验，具有房地产行业或施工单位园林专业相关经验，有监理工程师或建造师证书者优先。知识技能:（1）熟悉房地产开发业务中的园林专业知识，熟悉南方植物名称，生长习性；（2）对园林艺术有一定的独到见解及鉴赏性；（3）具有较强的沟通协调能力以及执行力；（4）熟练使用常用办公软件及CAD制图。工作职责:1.参与方案设计、施工图设计，提出改善的建议；2.参与园林景观设计物料选型，督促设计单位提供物料样板；3.参与园林景观招标答疑，协调现场踏勘及技术标审定；4.组织相关部门参与甲供苗木采购；5.协调设计师落实绿化苗木的种植前苗木样板确定；6.协调园林景观工程结构、水电图纸的设计及现场配合；7.参与室外土建工程、综合管网的敷设及施工，提出改善措施；8.负责园林景观工程施工图审核，组织施工图纸会审，施工组织设计审核；9.参与方案设计，负责落实施工图及其设计变更的实施；10.负责园林工程现场施工图的设计及原方案设计遗漏的小量方案及施工图设计；11.协调山石工程、艺术品工程、水景工程、室外家什等的二次设计及审核；12.负责协调园林景观中甲供材料的验收和安排交接保管工作；13.负责施工单位进场材料的登记、验收、材料进场施工协调及成品保护；14.审核施工单位编制的项目园林工程进度计划，并监督组织实施；15.负责对施工单位的园林工程施工进度、质量进行监督、控制；16.协调园林景观施工单位与各总分包单位、监理公司之间的关系；17.负责巡视、检查、评定在建项目的园林工程质量、工程材料质量、监理单位的监理质量等；18.组织召开园林景观工程现场例会并在协调会上解决施工单位提出的问题；19.负责审核园林施工单位的进度款付款情况并及时办理付款手续；20.审核园林工程在施工中出现的现场签证的审核、工程量的审核及办理；21.负责施工单位提交的竣工结算资料的审核；及时申请竣工结算办理；职能类别：房产项目配套工程师举报分享,0
6000-7999/月,星河控股集团有限公司,拓展专员,职位描述：1、土地信息收集整理2、跟进土地手续的取得3、大型地产公司相关工作经验职能类别：房地产项目/开发/策划主管/专员关键字：土地拓展拓展举报分享,10
10000-14999/月,星河控股集团有限公司,土建造价师,职位描述：1、本科以上学历，工程造价类专业，年龄28岁以上，五年以上工程造价管理工作经验，持预算员造价工程师证；2、熟悉定额原理及土建工程施工工艺、规范，了解有关建筑法律法规，具有成本管理意识与经验，掌握相关计量、计价软件。职能类别：其他工程造价师/预结算经理关键字：带薪年假年终双薪奖金丰厚交通补助包吃包住节日福利举报分享,7
10-15万/年,星河控股集团有限公司,采购工程师,职位描述：1、本科及以上学历，工民建、工程造价、采购等相关专业；2、5年以上工程项目招标采购相关工作经验，包括2年以上同等岗位工作经验；3、精通工程项目采购专业知识、房地产开发企业的工程管理流程。职能类别：采购经理工程造价师/预结算经理举报分享,4
10-15万/年,星河控股集团有限公司,策划师/渠道拓展岗,职位描述：工作职责：1、负责公司一手产品的渠道拓展工作，通过对商家资源等目标客户群进行拓展，为客户提供专业的房地产置业咨询服务；2、负责完成拓展的相关指标任务，协助实现各项销售指标。任职要求：1、大专及以上学历，有3年以上房地产销售经验，并有1年以上的大客户/商家等渠道拓展经验；2、形象良好，沟通能力强。欢迎有相关拓展经验者投递简历，待遇面谈，从优。职能类别：其他关键字：拓展渠道营销策划举报分享,9
80000-100000/年,星河控股集团有限公司,报批报建工程师,职位描述：1、3年以上房地产公司本岗位或建筑设计院建筑设计专业工作经验2、熟悉房地产开发业务流程及政府审批业务流程、熟悉房地产行业相关法律法规3、具有较强的沟通、协调与组织能力4、具有较强的责任心职能类别：其他举报分享,14
6000-7999/月,星河控股集团有限公司,置业顾问,职位描述：一、工作经验：2年以上房地产销售工作经验二、专业知识:精通：房地产销售流程、客户分析和谈判熟悉：房地产市场、建筑相关知识了解：房地产策划流程、房地产开发流程三、能力素质：卓越：专业能力、沟通协调能力、执行能力、优秀：解决问题、应变能力、客户服务、 团队协作较强：学习能力、敬业负责注：要求相貌端庄，亲和力强，175CM以上，165CM以上。公司福利优厚，底薪4000元起，佣金点数高于市场2倍。职能类别：房地产销售举报分享,3
8000-9999/月,星河控股集团有限公司,装饰工程师,职位描述：岗位要求：1、本科以上学历，室内设计类专业，五年以上室内设计经验，有大型商业、酒店、会所、样板房等项目室内设计经验；2、熟悉装饰设计、机电配合、施工管理等相关模块，熟悉方案、深化、施工图和施工阶段全过程的设计管理，熟悉本专业技术法规、装饰材料选型及应用设计软件。职能类别：房产项目配套工程师举报分享,33
6000-7999/月,星河控股集团有限公司,司机,职位描述：岗位职责：1、负责公司车辆的保险、验车、保养、维修等工作；2、进行车辆内外部的日常清洁；3、接送公司领导、客户，完成各部门用车和接待任务，满足用车需求；4、协助行政人员从事一些外勤工作。任职资格：1、高中以上学历，持有A1驾照，有大型企业3年以上行政司机经验；2、具有良好的驾驶技术和安全、服务意识，对省内道路熟悉；3、熟悉车辆维修知识、保险理赔知识及商务接待礼仪知识；4、熟悉车辆年检、保险、养路费办理等程序；5、身体健康、为人正直、踏实，工作积极主动，敬业负责，应变能力较强，无不良嗜好。职能类别：商务司机举报分享,31
4500-5999/月,星河控股集团有限公司,保修工程师,职位描述：要求：1、能够根据问题的原因分析来制定相应的维修方案2、熟练掌握维修标准工艺3、对隐蔽工程能够判断和验收并推动维修继续进行4、能制定工作标准、实施计划等日常工作所需的文件任职资格：1、中专及以上，有土木工程类、建筑学类、物业管理等房地产相关专业为佳2、曾从事维修业务管理工作3、具备基本的电脑操作技能、电工职业资格证、特种作业操作证等；能讲粤语为佳4、1）具情绪控制和抗压能力； 2）良好的亲和力和沟通能力；3）具资源整合、组织协调能力；4）较好继续学习能力； 5）能够自我调节工作压力职能类别：物业维修员关键字：维保保修举报分享,2
8000-9999/月,星河控股集团有限公司,营销策划师,职位描述：1、本科及以上学历，市场营销、经济管理等相关专业，3年以上营销策划相关工作经验，1年以上房地产营销策划管理工作经验；2、精通市场营销知识、对房地产行业和产品有较全面的认识、整合营销和策划能力强；3、熟悉国家和地方的政策、规划、以及行业动态；4、了解房地产项目运作程序、建筑产品知识、销售管理等知识；5、具有卓越的创新能力、理解能力、学习能力和沟通能力；职能类别：其他举报分享,30
4500-5999/月,星河控股集团有限公司,工程资料员,职位描述：1、专科以上学历，建筑工程类专业，年龄25岁以上，一年以上工作经验，具独立完成工程项目资料管理；2、熟练工程技术资料的标识、整理及归档，具有一定的工程建筑相关知识，能独立编制建筑工程资料，懂图纸。职能类别：其他举报分享,6
8000-9999/月,星河控股集团有限公司,土地拓展主管,职位描述：工作职责：1、土地资源信息收集整理，进行经济测算，审议项目可行性研究报告，为项目投资决策提供信息；2、负责与相关各方的商务谈判工作并组织合作协议的签订，参加政府土地主管部门招、拍、挂，获取土地，协助做好土地征用和拆迁安置工作；3、参与协调与国土部门等相关政府部门的关系；4、跟进实施主体、土地合同等土地手续的取得。职能类别：其他举报分享,29
10000-14999/月,星河控股集团有限公司,给排水/暖通工程师,职位描述：1、大学本科学历，水暖相关专业，5年以上房地产企业水暖工程管理经验；2、精通房地产开发项目的水暖工程专业知识和管理流程，有较高的专业能力和专业水平；3、熟悉房地产行业相关法律、法规，国家质量认证体系相关知识、质量管理体系知识、质量控制专业知识以及文明、安全管理知识；4、了解国内外水暖工程技术现状和发展趋势；5、敬业负责、技术应用能力强、有良好的沟通能力和人际交往能力；6、持有工程师以上职称证书者优先。职能类别：房产项目配套工程师举报分享,5
6000-7999/月,星河控股集团有限公司,行政主管,职位描述：1、大学本科，管理学、行政管理类相关专业；2、3年以上地产行业行政类岗位工作经验，2年以上同等岗位工作经验；3、熟悉房地产开发业务流程，熟悉档案、证照办理、车队、食堂等行政事务的管理，文字表达能力强，有驾照；4、团结合作，有敬业精神和责任感、有优秀的沟通能力和组织协调能力。职能类别：行政经理/主管/办公室主任行政专员/助理关键字：行政办公室举报分享,28
4500-5999/月,星河控股集团有限公司,材料员,职位描述：1、有地产公司相关工作经验2、熟悉材料情况职能类别：其他举报分享,1
10000-14999/月,星河控股集团有限公司,法务主管/经理,职位描述：岗位要求：1、本科及以上学历，法学相关专业；2、5年以上专职律师执业经验，具有3年以上房地产企业法律业务经验者优先；3、精通国家法律法规、法律理论及法律实操事务；4、熟悉房地产行业特征及房地产开发业务全套流程；5、拥有卓越的影响能力和思维总结能力，有优秀的组织协调能力和计划执行能力；6、正直诚信，有律师资格证者优先。岗位职责：1、审查城市公司的各类合同文本，必要时会同集团公司及外部法律机构，参加合同评审会；2、跟据需要参加签订合同的法律谈判，参与合同拟定及修订；3、负责处理城市公司的法务纠纷事宜；4、负责公司日常法律咨询事宜；5、参与公司重大业务决策，提供法律专业意见和建议；6、负责公司相关人员的法务知识培训。职能类别：法务主管/专员关键字：法务举报分享,24
15000-19999/月,星河控股集团有限公司,土地拓展经理,职位描述：工作职责：1、土地资源信息收集整理，进行经济测算，审议项目可行性研究报告，为项目投资决策提供信息；2、负责与相关各方的商务谈判工作并组织合作协议的签订，参加政府土地主管部门招、拍、挂，获取土地，协助做好土地征用和拆迁安置工作；3、参与协调与国土部门等相关政府部门的关系；4、跟进实施主体、土地合同等土地手续的取得。职能类别：其他关键字：带薪年假年终双薪奖金丰厚交通补助包吃包住举报分享,26
6000-7999/月,星河控股集团有限公司,司机,职位描述：岗位职责：1、负责公司车辆的保险、验车、保养、维修等工作；2、进行车辆内外部的日常清洁；3、接送公司领导、客户，完成各部门用车和接待任务，满足用车需求；4、协助行政人员从事一些外勤工作。任职资格：1、高中以上学历，持有A1驾照，有大型企业3年以上行政司机经验；2、具有良好的驾驶技术和安全、服务意识，对省内道路熟悉；3、熟悉车辆维修知识、保险理赔知识及商务接待礼仪知识；4、熟悉车辆年检、保险、养路费办理等程序；5、身体健康、为人正直、踏实，工作积极主动，敬业负责，应变能力较强，无不良嗜好。职能类别：其他商务司机举报分享,21
4000-6000/月,星河控股集团有限公司,拓展专员,"职位描述：1.     负责维护公司现有渠道信息，挖掘并建立新的渠道资源；2.     根据公司要求负责渠道的拓展工作(包括但不限于中介公司、商会、商家联盟、金融行业、电商分销公司等),目标性进行业务洽谈，取得合作；3.     已开展合作渠道的有效维护和促进，并跟踪执行，建立良好的长期合作关系；4.     制定并不断完善方案及运作管理制度、渠道策略；5.     负责及时反馈在渠道拓展过程中所发生的问题以便公司及时调整渠道拓展方向合作方案与执行细则；6.     完成领导交办的工作职能类别：房地产项目/开发/策划主管/专员举报分享",25
6000-7999/月,星河控股集团有限公司,客服主管（非技术）,职位描述：1、相关5年以上工作经验，3年以上同等岗位工作经历2、熟悉房地产企业客服管理工作职能类别：其他客服主管举报分享,22
3000-4499/月,星河控股集团有限公司,收款员,职位描述：岗位职责：1、负责收取项目销售收入款，编制资金收取日报表；2、负责结算项目销售刷卡业务以及与银联公司费用；3、督促按揭贷款的办理，及与有关银行中介的协调；4、按合同及有关规定，督促和落实销售资金的及时回笼。5、销售日报、月报和按揭业务动态报表的编制和报送；6、负责录入营销系统管理软件有关财务数据；7、负责编制销售人员佣金计算表，并按时上报。8、参加销售现场和公司组织的业务及其他学习、培训；9、负责销售票据的领缴、保管和开具。10、配合其他部门和岗位工作，完成上级领导交办的其他任务。任职要求：1、大学专科学历，财务、会计相关专业；2、2年以上财务会计相关工作经验，其中1年一年以上同岗位工作经验；3、精通：财务会计知识；熟悉：经济学知识、房地产专业知识国家相关财经法律、法规；了解：房地产企业运作流程、房地产行业情况；4、学习能力强，善于沟通交流；5、拥有会计从业资格证。职能类别：财务助理/文员其他关键字：收款员收银员财务年终双薪奖金丰厚包吃包住定期体检员工旅游交通补助举报分享,27
15000-19999/月,星河控股集团有限公司,建筑设计师,职位描述：1、本科以上学历，建筑学专业2、5年以上设计院或地产公司工作经验职能类别：房产项目配套工程师建筑设计师举报分享,18
10-15万/年,星河控股集团有限公司,法务专员/主管,职位描述：岗位要求：1、本科及以上学历，法学相关专业；2、3年以上专职律师执业经验，具有1年以上房地产企业法律业务经验者优先；3、精通国家法律法规、法律理论及法律实操事务；4、熟悉房地产行业特征及房地产开发业务全套流程；5、拥有卓越的影响能力和思维总结能力，有优秀的组织协调能力和计划执行能力；6、正直诚信，有律师资格证者优先。岗位职责：1、审查城市公司的各类合同文本，必要时会同集团公司及外部法律机构，参加合同评审会；2、跟据需要参加签订合同的法律谈判，参与合同拟定及修订；3、协助部门经理完成标准合同的修订；4、负责处理城市公司的法务纠纷事宜；5、负责公司日常法律咨询事宜；6、参与公司重大业务决策，提供法律专业意见和建议；7、负责公司相关人员的法务知识培训。职能类别：法务主管/专员举报分享,16
15-20万/年,星河控股集团有限公司,报批报建主管/经理  （珠海）,职位描述：工作经验:5年以上房地产行业报批报建工作经验；知识技能:（1）熟悉房地产开发及报批报建流程，熟悉房地产行业相关法律、法规、政策；（2）具有较强的沟通协调能力；（3）有珠海区域相关政府部门资源者优先。工作职责:1.负责分管项目报批报建工作，参与协助其它项目报批报建工作2.参与拓展储备用地、负责项目土地使用权手续完善；3.负责分管项目前期各相关工作；4.负责《建设用地规划许可证》的办理及市政规划条件的输出；5.负责设计阶段政府各职能部门报建手续的办理；6.负责施工前期及施工过程相关的报批报建手续办理；7.负责预售查丈、竣工查丈手续办理，协助预售许可、房地产权初始登记办理；8.负责规划、环保、民防、燃气、电气、消防等专项工程验收手续办理，参与建筑工程竣工验收，负责竣工验收备案手续办理，协助入伙手续办理；9.负责职责范围内的内、外部沟通、协调工作；10.协助公司相关部门的对外协调工作；11.参与编制并执行《项目报批报建计划》；职能类别：其他举报分享,32
8000-9999/月,星河控股集团有限公司,电气工程师,职位描述：3年以上房地产企业电气工程管理经验精通：房地产开发项目的电气工程专业知识和管理流程熟悉：房地产行业相关法律、法规，国家质量认证体系相关知识、质量管理体系知识、质量控制专业知识以及文明、安全管理知识了解：了解国内外电气工程技术现状和发展趋势职能类别：房产项目配套工程师举报分享,20
