salary,company,jobname,jobcont,jobid
40-50万/年,星河控股集团有限公司,拓展总监（东莞）,职位描述：工作职责：1、考察东莞房地产市场，拓展政府关系，建立信息渠道，获取土地信息；2、收集区域的城市规划、政策等相关信息，并进行分析整理，并完成各项专题研究；3、组织项目可行性研究，研究房地产市场、投资环境、竞争对手、组织项目收益测算，评估项目可行性；4、组织、参与政府的招拍挂工作，获取土地；5、组织、参与收购项目的商务谈判、协议编制、风险控制；6、完成上级交办的其他工作。岗位要求：1、本科及以上学历，专业不限；2、在房地产开发企业从事土地拓展或城市更新工作8年以上；3、担任土地拓展团队负责人1年以上；4、成功运作1个以上中大型项目土地拓展工作者优先；5、熟悉不同方式拿地政策、流程及实务（尤其是城市更新）；6、良好的沟通、组织及开拓能力。职能类别：房地产项目/开发/策划经理其他举报分享,0
20000-25000/月,星河控股集团有限公司,客服体验经理,职位描述：岗位职责：1、通过客户体系标准建设、客户投诉处理、客户关系维护、物业服务品质监督、客户需求对接等，提升客户满意度；2、统筹项目客户满意度管理；3、负责客服管理标准体系的建设和研究；4、协助对入驻企业产业服务、租赁费催缴、对园区内物业方面服务工作进行专业的评估和考核等工作；5、客户需求管理：负责配合挖掘客户产业服务需求，向客户提供其他增值服务（如服务支持、促销活动支持等）。任职要求：1、5年以上客户服务工作经验，有甲级写字楼或产业园客户服务经验优先。2、熟悉客户关系管理，熟悉企业客户服务、环境管理体系运作。3、良好组织、协调和控制能力、思维活跃慎密、较强的综合分析能力及协调管理能力。职能类别：客服经理客户关系经理/主管举报分享,20
120000-200000/年,星河控股集团有限公司,行政经理,职位描述：1、负责拟定集团行政后勤管理制度，并组织实施和监督执行。2、负责集团证照及印章的适用及管理、维护，并处理证照的年审工作。3、负责为集团领导的公务活动提供辅助服务。4、负责办公环境、行政后勤费用、员工体检、车辆调派、办公资产管理等行政工作。5、负责集团企业文化管理，制定年度企业文化活动计划及预算，并按计划策划实施。6、负责集团经营决策会议管理。7、完成上级交办的其他工作。任职要求：1、全日制本科及以上学历，汉语言文学、新闻学等相关专业。2、三年以上企业行政后勤管理相关工作经验，房地产行业工作经验优先考虑。3、精通企业行政、文秘管理工作及企业文化建设活动组织策划工作，了解行政费用预算及经费控制，车辆使用调度、监管、事故处理等。4、具有较强的服务意识，良好的文字功底、沟通协调能力，熟练应用办公软件。职能类别：行政经理/主管/办公室主任关键字：行政举报分享,18
15000-19999/月,星河控股集团有限公司,战略品牌总监,职位描述：岗位职责：1、负责搭建置业集团整体市场研究体系，包括全国及重点区域的宏观经济及市场研究、行业趋势研究、竞争对手经营动态和业务模式研究等。2、根据星河控股集团发展战略，负责分析多元化产业集团发展机遇、国家政策机会，标杆企业动态，并拟定置业集团战略规划报告及品牌发展策略报告。3、负责置业集团战略目标分解，指导职能部门制定相应的业务目标及战略举措、行动计划，并监督执行情况，根据战略执行情况进行定期分析，提出执行改善建议或者战略规划调整建议。4、组织集团战略及规划的宣贯，负责审核集团下属专业公司战略发展规划及实施计划。5、负责梳理置业集团品牌矩阵的架构关系、定位、多品牌战略目标。6、研究同业、竞争品牌的品牌策略及市场发展策略，定期形成研究报告。7、负责编制置业集团品牌的年度策略、传播计划、发展计划、执行方案等。8、负责收集、接触优秀的品牌管理咨询公司，为公司储备优质的合作伙伴。9、完成上级交办的其他工作。任职要求：1、全日制本科及以上学历，金融、企业管理、经济学、市场营销、品牌策划等相关专业。2、三年以上大型咨询公司或房地产行业企业集团同岗位工作经验；。3、具有先进管理理念，丰富的战略制定、品牌规划与实施经验。4、具备较强的文案写作能力、沟通能力、分析能力，熟练应用办公软件。5、具备较强的责任心、自律性、忠诚度和风险意识，工作严谨，稳定性好。6、具有较好的自我管理能力、以目标为导向、敢于接受挑战、知识面广、自我学习及知识更新能力强、思维活跃、有创新意识，合作及沟通能力强。职能类别：其他举报分享,15
15000-19999/月,星河控股集团有限公司,品质经理,职位描述：岗位职责：1、组织开展对商业、物业、酒店等行业的品质管理进行研究，了解各业态的前沿信息和品质发展方向。2、建立各业态的共性服务品质管理的建议指导标准。并督导标准执行和不断优化。3、组织品质管理检查，对不符合标准要求的事项提供整改建议，并跟进落实。4、组织下属公司开展各行业交流学习活动，不断提高服务管理品质。5、负责定期向置业集团提交品质管理监察报告。6、负责引进、研发品质相关培训教程，组织对下属公司品质管理业务的培训。7、协助跟进下属公司的客户投诉事件、安全生产事故处理落实情况。8、参与对下属公司供方合同评审、合格供方评价等工作。任职要求：1、全日制本科及以上学历，企业管理、质量管理相关专业。2、五年以上同等职位相关工作经验，其中三年以上商业、酒店、物业管理经验。3、精通品质管理控制及制度建立，熟悉商业、酒店、物业等行业业务操作，了解设备设施运行与客服管理。4、具有良好的书面和语言表达能力，分析判断能力。职能类别：物业管理经理举报分享,17
15000-19999/月,星河控股集团有限公司,投资总监,职位描述：岗位职责：1、负责投资项目的开发，寻找和筛选有发展潜力和投资价值的项目机会。2、负责进行市场、行业和企业等投资专项研究。3、负责构建项目投资分析模型，进行项目投资估值和回报分析。4、负责实施项目尽职调查与评估，出具尽职调查报告。5、负责编制项目投资可行性报告、投资策略与方案等投资报告。6、负责制定商业、物业、酒店等业务管理输出标准。7、负责项目谈判及项目投资文件的编制，负责对所投项目的整体管理、推进以及项目执行过程中的风险控制。8、负责置业集团投资并购、新三板、IPO上市等业务运作管理，参与下属上市公司定向增发、并购重组等相关业务。9、负责投后项目退出及与其他投资人、大股东的谈判协调、设计退出方案等，确保项目增值及安全退出。10、完成上级交办的其他工作任职要求：1、全日制本科及以上学历，金融、投资、财务、企业管理等相关专业。2、熟悉中国资本市场和相关法律法规，了解企业经营与管理、项目投资与管理、财务分析与管理、主导过三个以上项目投资管理全流程，具有商业项目、酒店项目、产业项目、旅游项目投资经验者优先 。3、具有三年以上投资、投行等相关工作经验和管理经验，具有CPA、CFA等资格者优先。4、具有较强沟通协调能力、文字表达和团队协作能力，熟练应用办公软件。5、责任心强，工作认真细致，自我学习及知识更新能力强，具备相应的组织和综合协调能力。职能类别：房地产投资分析举报分享,16
26000-30000/月,星河控股集团有限公司,投资经理（VC方向）,"职位描述：岗位职责1、负责产业跟踪和行业研究，挖掘优质拟投资项目；2、完成尽职调查、投资价值分析、投资可行性论证，推动项目立项；3、设计合理的投资方式、投资架构、投资策略，完成商务谈判、协议签署等工作；4、负责已投项目的投后管理及增值服务。任职要求1、重点院校硕士及以上学历，有五年以上产业投资或新兴产业领域工作经历；2、具备较强的行业研究、项目论证、方案设计能力，熟悉项目投后管理及增值服务流程，具备某一行业的专业知识和项目资源，如创新金融、人工智能、互联网、信息技术、新材料、高端装备制造、健康产业、生物医药、现代农业、消费品、现代服务业、节能环保、新能源、文化产业等；3、熟悉中国资本市场，有经济、金融、法律等相关专业背景者优先；4、有过主导某一产业投资项目经验者优先；5、能熟练操作计算机，具备较好的文字表达能力和英语能力（英语六级或相当水平），听说读写流利；6、诚实守信，性格开朗，作风严谨踏实，能吃苦耐劳，适应出差，团队合作意识强。""职能类别：投资/基金项目经理举报分享",21
15000-19999/月,星河控股集团有限公司,投资者关系经理,职位描述：岗位职责：1、负责置业集团下属上市公司投资者关系管理，与投资者进行沟通，回答投资者咨询，促进上市公司在投资圈内的口碑与形象。2、负责置业集团下属上市公司董事会、监事会、股东大会的会议管理工作，负责安排与合作机构开展各类会议。3、维护和定期更新投资者信息库，做好政府机构、投资者、分析师和媒体的日常关系维护，提高投资者对公司的关注度。4、负责处理置业集团下属上市公司信息披露事务。5、负责资本市场、证券市场和政策面重要信息的采集、报告及研究。6、协助集团领导拟定上市事务工作，协助完成集团在资本市场的融资和募资工作。7、完成上级交办的其他工作。任职要求：1、全日制本科及以上学历，金融、经济、财务、投资等相关专业优先。2、三年以上上市公司投资者关系管理从业经历，熟知上市公司投资者关系管理要点。3、熟悉和了解房地产业务，具有一定的财务基础，熟悉上市公司与投资者相关的财务知识。4、诚实守信、责任心强，具有较强的沟通协调能力、学习能力和团队合作精神，熟练应用办公软件。职能类别：其他举报分享,14
15000-19999/月,星河控股集团有限公司,成本结算经理,职位描述：岗位职责：1、负责集团全成本管理体系的搭建，明确各类成本管理标准，并组织实施及监督执行。2、负责建立和完善商业、酒店、写字楼等各类产品类型的成本专业数据库、成本案例库，为项目建造标准制定提供专业支持。3、负责建立不同产品项目标准成本，并不断完善更新标准成本体系。4、负责目标成本的编制和管理，进行项目多方案设计的经济测算比较，提出限额设计成本和控制建议。5、负责动态成本管理，负责汇总、审核、分析各类成本费用，建立预警机制，控制公司全成本费用。6、负责项目成本预结算编制工作，并在项目结算后，组织开展成本后评估。7、完成上级交办的其他工作。任职要求：1、全日制本科及以上学历，工程造价、工程管理、工民建、建筑工程等相关专业。2、五年以上成本管理相关工作经验，三年商业地产成本管理工作经验。3、精通工程造价专业知识和概预算定额，精通国家土建工程造价信息和政府文件，市场建材价格，工程项目开发成本全过程控制知识。4、熟悉商业地产开发、建筑、设计、工程等相关业务知识，施工工艺与工程量的计算，熟悉建筑材料设备特性、市场行情及供应渠道。5、具有良好的沟通和表达能力，较强的组织协调能力，熟练应用办公软件。6、品行良好，责任心强，执行能力强。职能类别：工程造价师/预结算经理举报分享,13
20000-24999/月,星河控股集团有限公司,培训经理/副经理（培训学院）,职位描述：岗位职责：1、规划与筹备星河管理学院；2、拟定通用管理类课程体系；3、管理中高级内外讲师资源；4、高层管理人才选拔与培训项目策划及实施。任职资格：1、本科以上学历，管理学相关专业，男女不限；2、有光华、中欧、长江等中国***管理学院任职经历，了解MBA课程设计、掌握讲师资源。3、根据候选人个人情况，给出具体岗位。职能类别：培训经理/主管人事经理举报分享,12
