salary,company,jobcont,jobname
8000-20000/月,广州市铂云网络科技有限公司,"职位描述：1、负责公司核心系统及框架的设计，开发，维护，服务端相关组件开发，具备独立实现能力；2、负责搭建系统开发、生产环境，完成项目开发工作；3、负责数据模型的设计，数据库优化，数据分析及数据可视化组件编写；4、相关文档的编写。技术能力要求：1、大专或以上学历，有良好的计算机素养，至少 2 年 Linux 系统下的开发经验；2、有较强的编码和调试能力，并具有良好、规范的编程习惯和文档编写习惯；3、熟练掌握Python，熟悉 C/C++，Java 等语言中的至少一种，了解Python 的优化，熟悉 C 语言编写 Python 模块者优先；4、有数据库设计经验，熟悉MySQL；5、熟悉Web 开发流程，熟悉django/html5/css3/js, 了解mvc开发模式，了解nginx, tornado；6、熟悉 Linux，熟练使用git，能够进行系统安装部署；综合能力要求：1、具备快速学习能力，善于沟通交流，出色的执行力，强烈的责任感，具备较强的英语阅读能力；2、具有创新精神、独立工作能力和团队协作精神，工作踏实勤恳，能够承受工作压力，对新技术敏感；加分项：1、有分布式、高并发服务器系统设计和架构经验2、有海量数据处理、存储、分析及相关系统搭建经验3、有较强的linux系统管理经验，具备linux系统调优能力，具备较强的 shell 脚本编写能力4、熟练使用多种js库5、熟悉mongodb, redis中的一种或多种",Python后台开发工程师
5000-7000/月,Game Hollywood--游莱科技,"岗位职责：1、负责游戏服务器环境搭建以及日常维护管理，并保障运行环境的稳定性；2、负责游戏服务器网络安全配置,按要求做好安全防范措施和检查；3、负责游戏服务器的日常版本发布、更新及运行监控，并记录日志；4、负责游戏服务器突发性故障的快速响应和处理，解决服务器和网络故障；5、配合策划以及研发人员，解决相关游戏问题6、负责游戏相关数据备份及数据查询；7、编写项目相关运维文档及工作日志；===========================================================================任职要求：1、计算机相关专业毕业2年以上、游戏运维从业1年以上者；2、认真负责、细心谨慎,能承受一定的工作压力。有强烈的责任心及服务意识，并拥有良好的沟通能力和团队合作精神；3、熟悉RedHat/Centos/ubuntu等常用 linux操作系统，熟悉以太网技术，有较强的排除故障能力。有RHCE认证优先。4、熟悉至少一种防火墙的配置，比如iptables5、熟悉MySql，MongoDB，能根据运营需求协助DBA执行数据查询；6、熟悉Nginx,tomcat等web应用服务器。7、熟悉Bash Shell / Python / Perl其中一种，并能根据业务需要编写自动化处理脚本。8、熟悉office等常用办公软件的使用，有一定的总结及文档编写能力；9、具有独立维护100台以上linux服务器的能力。",系统运维工程师
7000-20000/月,广州杰冠信息技术有限公司,岗位职责1.统筹环境相关技术工作。2.制定基础环境的技术规范并推动规范在研发侧的执行。3.负责环境团队的技术支持与指导，提升团队的整体技术能力。4.协调环境团队与技术部其他各组同事的沟通，解决问题。任职要求：1.熟悉linux基本操作，能够熟练的在Linux上安装部署应用软件，主机性能分析评估、应用在系统层性能分析，应用及系统故障排查。2.熟悉网络交换机、防火墙、负载均衡的基本应用，能够熟练梳理业务访问关系，熟悉七层协议，熟练应用http、ftp、dns、snmp等应用层协议。3.熟悉主机、网络基础安全配置，熟悉主机常用安全策略设置，网络端口常用安全策略设置，对网络安全、应用安全有基础的处理能力，漏洞修复能力。4.了解分布式应用架构，对mq、redis、zookeeper、netty等分布式架构组件有一定了解。5.熟悉系统监控、Python、shell脚本编写，熟悉自动化运维工作推进流程。,应用运维架构师（高级、中级和初级）
6000-7999/月,广东安居宝数码科技股份有限公司,岗位职责：1、负责公司APP运行环境的搭建、更新2、负责公司APP测试环境、正式环境的例行巡检3、负责服务器的监控和后台数据备份4、对运行主机性能进行优化5、负责服务器、系统日常维护和故障处理；任职要求：1.2年以上运维经验，有大数据运维经验优先2.熟悉网络基本原理，熟悉tcp/ip协议；3.熟悉tomcat、nginx、apache、IIS等常用web服务器架设、调优和故障处理；4.熟练使用linux，了解操作系统原理，在Linux系统管理及优化有丰富经验；5.熟练使用zabbix、cacti、nagios等常用监控工具；6.熟练Mysql、sqlserver、mongodb的基本语句和管理维护及常见故障处理；7.熟悉Shell、Python、Php、Perl至少一门脚本语言，有运维平台开发经验优先；8.熟悉ansible、saltstack、puppet自动化运维工具优先；9.熟悉反向代理、负载均衡和高可用技术优先。,运维工程师
7000-10000/月,广州速游网络科技有限公司,"岗位职责1、负责配置游戏运行环境，安装部署游戏；2、游戏服务器的规划、监控，数据备份，日志分析，故障排除，性能调优等工作；3、研究运维相关技术，根据系统需求制定运维技术方案；4、研究系统架构、提高系统的健康性，参与运维流程制定、保证高效响应。任职要求1、精通Linux平台的业务维护；2、精通Nginx+MySQL+PHP的配置、使用、调优；3、熟悉 zabbix,open-falcon等监控软件的使用；4、了解Shell编程、熟悉PHP、Python语言任意一种语言优先；5、有较强的学习能力，热爱系统管理工作，有高度的责任心，喜欢钻研系统管理相关技术；6、对系统安全，入侵检测等有一定了解，能根据服务器的情况制定相应安全措施；7、具有网游运维经验、大型网站运维经验者优先；8 熟悉网络原理 具备一定的网络排障经验 对ISO 7层有一定的了解，具备CCNA或CCNP认证优先。",运维工程师
4500-5999/月,真功夫餐饮管理有限公司,"工作职责：1. 负责服务器的安装、调试、维护；2. 负责监控各服务器的运行状况，能及时处理各服务器故障，保障应用的正常运营；3. 可编写脚本程序以完成日常工作；4. 对公司原业务持续优化保障；任职资格：1. 全日制专科以上学历，计算机专业或2~3年 linux 工作经验；2. 对 Linux 有很浓厚的兴趣，有钻研精神；抗压能力强、自我管理能力强，沟通良好，有良好的理解能力和学习能力；3. 熟悉常见操作系统 CentosRedhat Linux 系统;4. 熟悉各服务配置管理，如：httpd, nginx, tomcat, iptables, mysql, memcached, ftp, php, rabbitmq 等；5. 熟悉负载均衡、双机热备；6. 具备 shell 或 python 语言的开发能力；7. 对服务器硬件知识有一定的了解，对系统性能优化有一定认识；8. 熟悉 KVM 和 Docker 技术者优先；",系统管理员
10000-14999/月,唯品会（中国）有限公司,"岗位职责:1. 熟悉公司各生产业务线，了解公司业务流程、系统架构。2. 监控和维护生产系统的正常运行，及时发现和处理故障。3. 协调跨部门合作，分析并提出故障处理思路，主导和驱动各类故障的解决。4. 发布管理：管控代码变更，控制风险。5. 问题管理：对发现的问题进行登记、优化和改进，避免相同的问题重复出现。6. 不断改进和优化相关流程，提高IT服务水平。7. 研究IT新兴技术，提高运维自动化能力，帮助团队成员提高专业技能。任职要求：1．本科及以上学历，至少3年以上IT运维支持经验；2．具有系统管理等工作经验，熟悉Linux操作系统管理、维护和使用；3．具有网络管理等工作经验，熟悉TCP/IP协议、负载均衡、DNS等技术；4．具有WEB服务管理的工作经验，熟悉Nginx/Apache/Tomcat等web服务和memcache/redis等缓存服务。5. 熟练使用shell和一种脚本语言(php/python/perl)编程，了解php/java等编程语言,分析日志定位问题。6. 熟悉SQL语言的基本操作，首选MYSQL，具有良好文档编写和文字表达能力；7. 优秀的学习钻研能力，良好的问题分析与解决能力，良好的危机管理和事件管理技能，以及跨职能团队的沟通协调能力,且抗压能力强；8. 熟悉IT服务管理流程，了解IT服务监控相关工具；9. 有7X24小时运维支持的服务意识。",高级运维工程师（支付业务）
6000-10000/月,广州云医科技有限公司,"1 负责云平台的维护建设,日常系统的监控.2 开发测试环境的部署3 日常服务器的申请配置,维护4 数据库的配置,备份,调优5生产环境的发布升级,部署要求:1,熟悉常用的LINUX操作系统(如CentOS,Ubuntu,redhat等)和Windows Server2008的安装和配置.2,熟悉SHELL脚本,能熟练编写平时维护的所用的脚本程序,熟悉python,perl或者php之一者优先.3,熟悉TCP/IP网络协议,了解主流web服务器的配置优化.如tomcat apache 等.有tomcat下的使用和维护经验优先4,熟悉负载均衡技术和常用的软件配置.如haproxy,nginx等5,了解非关系数据库如redis的使用,6,熟悉mysql的日常使用和备份和调优7,有RHCE系统认证者优先",初级运维工程师
15-20万/年,广州瀚润信息科技股份有限公司,"服务器开发工程师岗位职责：1、目前负责Windows下网络服务器编程相关工作，具备实现大并发量的服务器的经验，有LinuxC网络服 务器开发经验优先考虑；2、负责服务器与嵌入式Linux客户端（网络摄像头IPC）的交互；3、负责Linux服务器运维，解决线上产品运行中出现的技术问题，有Linux运维经验者优先；任职资格：1、精通C/C++语言，熟悉数据结构知识及常用算法，有扎实的编程基础及良好的编程风格, 两年以上 C/C++网络编程开发经验；2、熟悉TCP/IP网络通信，对于socket编程有深入研究，熟悉网络安全通信；3、熟悉Linux下的多进程和多线程编程；4、熟悉mysql、SqlServer等数据库技术；5、熟悉nginx下的epoll高并发机制，对Apache服务器构架有一定的了解 ；6、熟悉boost网络库,并在此基础上进行二次开发；7、熟悉nat穿透相关模块的设计与开发；8、有以下工作经验者优先考虑：1）熟悉openvpn，对于openvpn相关模块进行二次开发者；2）熟练使 用系统监测工具tcpdump、netstat；3）熟悉gsoap，采用gsoap封装系统服务；4）熟悉Linux Shell脚 本，有python经验者；5）熟悉Linux服务器集群lvs+keepalived者优先。9、对工作认真负责，遵守开发规范，有强烈的责任感，具有良好的团队合作精神。",P2P服务器开发工程师
8000-10000/月,广东立信企业有限公司,此职位隶属于立信集团下属研发中心。岗位职责：1. 负责系统运维，监控，调优等工作；2. 负责突发事件管理，问题跟踪与管理，保障系统24×7安全、稳定运行。3. 负责网络、服务器运行状况的日常监控、检查与日志分析；4. 实时监控整个局域网的运转和网络通信流量情况；5.负责公司内通用软硬件的维护和保障任职要求：1. 大学本科及以上学历相关专业，英语6级以上，至少5年以上系统管理工作经验；2. 有系统及网络规划设计能力，能独立完成路由器、交换机、防火墙的配置施工工作；3. 熟悉Windows、Linux系统的安装，管理以及优化，并有网络安全、电脑病毒等维护经验；4. 熟悉VMware、Hyper-V、Xen、KVM等虚拟化技术；5. 至少熟悉一种主流存储技术，有SAN的设计，配置和维护经验；6. 具备大规模服务器管理经验，熟悉shell、python等脚本语言；熟悉Apache、Nginx 、Tomcat、Jboss、FTP、Mail、数据库等常见服务的配置和维护。胜任素质：1.  具有较强的沟通协作能力2.  诚实守信，责任心强，有较强的抗压能力,系统管理员
