salary,company,jobcont,jobname
6000-12000/月,广州扬盛计算机软件有限公司,"职位职责:负责公司产品的后端的开发或升级任务;负责公司产品上线的部署和维护.任职要求:熟悉 Python 语言;熟悉 Django;有良好的编码习惯;人品正直诚实, 善于沟通, 能够独立承受工作压力;有实际项目开发经验者优先;注：工作时间：8个小时5天工作制；公司拥有完善的员工保险（包括养老、医疗、失业、工伤及生育保险），购买公积金；提供国家规定的法定节假日、婚假、病假、产假、丧假以及带薪年假；公司倡导健康丰富的业余生活，每月组织至少一次外出活动；年终享受双薪、带薪休假等福利。",python程序员
4000+ /月,广州分给网络科技有限公司,岗位要求：1、计算机软件工程相关专业2、有python开发经验3、有C/C++基础4、熟悉MySQL数据库编程,网络游戏python程序员（3名）
6000-12000/月,广州游众软件科技有限公司,岗位职责：1、设计和开发游戏服务端；2、服务端相关辅助工具的开发；3、根据开发进度和任务分配，完成相应模块软件的设计、开发、编程任务；4、进行程序单元、功能的测试，查出软件存在的缺陷并保证其质量。任职要求：1、有1年以上服务端开发经验，至少熟悉一类服务端开发语言，C++、Java、Python等；2、有Python开发经验者优先，有PHP开发经验者优先；3、熟悉MySQL数据库，对MySQL优化有一定的经验；4、喜欢编程，追求代码质量，热爱游戏；5、独立完成工作，能承受工作压力；6、良好的沟通能力、学习能力。,python服务端
6000-7999/月,广州凡拓数字创意科技股份有限公司,岗位职责：1、根据开发计划，设计软件模块，完成软件模块源代码编写，实现开发需求规定的功能；2、根据开发需求，完成开发文档，提出模块设计规划；3、根据开发文档，制定详细的开发计划。任职要求：1、大专及以上学历，计算机相关专业，1年以上python开发经验；2、熟练使用python的web框架设计网站，例如diango等；3、熟悉linux操作系统，了解linux下shell编程，熟练使用git；4、熟悉主流web服务器的配置管理与性能优化；5、熟练使用mysql、redis等数据库，精通SQL，具备SQL开发经验；6、独立完成工作，能够承受工作压力。,python开发工程师
8000-15000/月,广州机智云物联网科技有限公司,,Python工程师
2000-4000/月,广州柠蜜信息科技有限公司,岗位职责：1、负责趣运动系列产品的功能测试、稳定性测试及兼容性测试；2、在测试过程中能对问题产生原因做基本判断，协助开发人员进行bug复现及回归测试；3、其它技术支持等工作。任职要求：1、在校生，具备良好的文字表达能力；2、热爱测试工作，善于逆向思维，能对测试中发现问题进行合理定位，并提出改进意见；3、可以胜任重复性工作，工作细致认真，有耐心，抗压能力强；4、有一定编码能力，熟悉Java、Python等任一门语言并有过实践经验；5、能在本岗位持续工作三个月及以上。,软件测试实习生/应届生（熟悉Java或Python）
10000-14999/月,广州明雄网络科技有限公司,1.负责公司 Web 项目以及 REST API 的开发；2.负责公司公众号相关项目的研发；3.后台相关数据分析；任职要求：1. 精通 Linux 下 Python Web 开发，有 Django 开发经验优先，有 REST API 开发经验优先；2. 熟悉 MySQL，有 MongoDB 经验优先；3. 熟悉 Web 前端（HTML/CSS/JS），有 jQuery/Bootstrap 经验优先；4. 有自己的上线 Web 作品经验优先；5. 有 git 使用经验优先；6.有第三方开放平台 API （如果微博/微信/百度等）使用经验优先。福利待遇：1、工作环境：舒适的开放式办公环境，交通便利。2、福利制度：为员工缴纳养老保险、医疗保险、工伤保险、失业保险、生育保险。3、贺礼：五一、端午、中秋、春节等传统节日公司发放礼品礼金或购物卡，生日礼金，春节派发开门利是。4、员工活动：不定期的开展国内外旅游、聚餐、体育运动等相关活动。5、晋升空间：为员工提供专业指导并为优异人才提供快速晋升通道。,Python工程师
10000-20000/月,聚力精彩（北京）信息技术有限公司,岗位职责：1、负责公司CMS类系统前后端开发；2、参与爬虫，数据解析和分析等功能的研发；3、负责分析业务领域比较复杂的问题，提出解决方案。岗位要求：1、使用Python开发过大型系统经验者优先；2、熟悉Python语言，至少熟悉一种框架，如 tornado、django等；3、具备 HTML5、CSS3 开发技术，有响应式页面开发经验4、善于使用前段的基本调试工具，熟练手写代码，并熟练掌握HTML5、CSS3、JavaScript、Ajax、jQuery等Web前端技术；5、 拥有良好的代码习惯，结构清晰，命名规范，逻辑性强；6、 有丰富的面向对象设计及编程能力，熟悉OOP开发模式；7、 熟悉Linux操作系统；8、 熟悉mysql 或其他任何一种关系型数据库管理系统；9、 熟悉redis 或其他任何一种缓存系统；10、 对新技术有强烈的探索精神，责任心强，善于团队合作与管理，能够承受工作压力，有强烈的责任心。工作地址海珠区昌岗中路238号达镖国际中心25层2502,Python高级开发工程师AEB
6000-7999/月,广州市融侨投资信息咨询有限公司,"职位描述：1、负责推广工具方向的研发；任职要求：1、计算机或相关专业，学历不限2、一年以上C++实际开发经验3、熟悉HTTP协议,具有Socket编程经验，能用抓包工具分析HTTP协议来进行人工模拟等4、有 php/python/c# 网络应用程序开发经验者优先（如爬虫开发，数据采集等）5、有网络营销软件研发经验者优先",python/C++应用软件研发工程师
2500-4000/月,广东凯捷商业数据处理服务有限公司,职位描述：1.	使用python语言进行产品服务端的开发以及维护工作；2.	学习与研究新技术以满足客户的要求。职位要求：1.	计算机相关专业，大专以上学历；2.	熟悉Python编程语言；了解数据库及SQL以及基本的优化与设计原则；3.	具有一定的抗压能力和一定的英文文档阅读能力；4.	能独立地完成工作，并具有良好的团队合作能力。,Python开发实习生
3000-4499/月,广州黑珍珠计算机技术有限公司,"如果你立志制作出足够优秀的游戏, 而又满足以下几个小小的要求,那么请加入我们吧, 你会跟一班很棒的家伙一起制作游戏!我们请的不是员工, 是一起成长的伙伴!工作内容:- 手机网络游戏服务器端开发工作装备:- 机械键盘(ducky红轴), 程序员要对得起自己的手指!职位要求:- 熟悉Python, 对Twisted, Webpy有了解者加分.- 熟悉mysql, 对数据库表设计有心得者优先, 优秀的数据库表设计是承载能力的关键.- 喜欢游戏, 对游戏开发有兴趣- 积极主动, 有担当, 负责任, 不仅能将分配的工作完成好, 还会主动去改进优化现有的游戏, 我们需要将游戏做得足够好.- 能承受压力, 能接受加班, 我们是一个快速发展的创业公司, 我们这里没有安逸的职位, 但会有奋斗的激情.- 扎实的程序基础, 熟悉常用的数据结构, 良好的编程思想, 游戏制作十分注重基本功更甚于经验.- 熟悉tcp与http的原理, 熟悉linux系统操作者优先, 我们需要对服务器的配置进行足够的优化以更稳定地运行程序- 如果您做过网络游戏的服务器端, 那么您的优先级会提高, 我们会很快联系您.要求不多, 但每一点我们都很重视.期待您的加入！",Python服务器端程序员
5000-10000/月,广州市昊恒信息科技有限公司,岗位职责：1.负责开发信息安全相关工具与产品2.负责开发漏洞检测利用脚本3.负责开发分布式网络架构4.负责大数据存储与检索分析5.负责开发与上层应用通讯接口能力要求 ：1.对信息安全有一定了解，熟悉OWASP TOP10等安全风险及对应的解决方案2.了解渗透流程，熟悉常见WEB安全漏洞分析与防范，如sql注入，xss等3.从事python项目开发2年以上，熟悉python运行机制与内存管理机制4.熟悉常用的设计模式，数据结构，软件开发流程等，并具备良好的编码规范5.熟悉linux，对多线程，多进程，socket，异步io等有一定了解6.熟悉分布式系统架构，有分布式项目开发经验优先7.思维活跃，乐于沟通，有良好的团队意识，抗压能力强，并有强烈的进取心公司将提供：（1）人性化舒适的工作环境；（2）有竞争力的薪酬体制；（3）丰富多彩的文化生活；（4）多元化的成长培训计划；完善的福利待遇：（1）公司实行五天工作制，弹性的上下班时间，周末双休。（2）为员工购买养老保险、失业保险、工伤保险、基本医疗保险、生育保险。（3）员工享有所有国家法定节假日，并享有带薪年假、产假、婚假、看护假等。（4）年底发放双薪。（5）部门活动与年度旅游活动。（6）享有公司期权,python 开发工程师
8000-12000/月,广州元因信息科技有限公司,岗位描述：?1、  Web后台的系统设计、功能开发2、  服务器架构和运维3、  根据设计，实现简洁、健壮、优美、扩展性强的后台4、  撰写程序设计、API等相关技术文档岗位要求：1、计算机相关专业，本科以上学历，有1年以上的Python的开发经验2、熟练掌握Python语言，并使用该语言进行过项目开发3、至少熟悉一种Python Web框架，如Django、Tornado、Flask等4、精通MySQL，精通Linux/Unix及Apache、Ngnix等主流Web服务器的基本配置和进程监控，熟悉常用SHELL命令5、具有良好的代码风格和开发习惯6、 熟悉亚马逊AWS，有过基于AWS的开发经验者优先7、英语能力突出，能够流畅阅读英文文章解决技术难点8、具备较强的逻辑思维能力、自学能力和沟通能力,Python工程师
4000-7000/月,广州铭岩信息科技有限公司,1、技能要求：掌握Python开发、掌握MySql、掌握HTML、掌握jQuery、掌握CSS、掌握JavaScript2、工作经历要求：有至少6个月工作经验；3、学历要求：最少大专毕业，计算机相关专业优先；4、其它要求：诚实、对从事互联网行业充满兴趣、热爱技术、带人友善5、性别要求：不限,Python开发者
10000-14999/月,广州市天诺营销策划有限公司,岗位职责：1.参与需求分析，产品设计，功能开发；2.负责系统平台的日常维护；3.与团队技术交流，共同进步 ；4.承担web后端的技术工作，开发和维护公平价网站，主要编程语言是python 。岗位要求：1.有扎实的编程功底，热爱编程，精通至少一门开发语言，愿意深入学习Python；2.熟悉MVC架构，精通Django或者其他Python Web开发框架者优先；3.具备数据库设计能力，精通掌握MySql/MongoDB者优先；4.熟悉Linux操作系统，熟悉Apache/Tomcat/Ngnix等WebServer的部署和应用；5.有大型网络服务开发经验者优先；6.具备良好的编码习惯及开发文档书写习惯；7.具有优秀的团队合作和沟通协作能力，善于学习，乐于分享，能承受较大工作压力；8. 有一定的web前端技能，了解或熟悉HTML、CSS、Javascript。,Python/Django开发工程师
6000-7999/月,广州市维艺信息科技有限公司,岗位职责：1、负责公司产品功能设计、开发2、负责公司项目部署，运维任职要求：1、熟悉web开发2、熟练mysql、nosql3、有服务器运维经验优先4、tornado框架的使用经验优先5、具有良好的沟通能力、团队合作精神、能承担工作压力,Python开发工程师
6000-12000/月,PPmoney互联网金融平台,"工作职责：根据业务需求，完成大数据的抽取、转换、加载和可视化展示。任职资格：1.计算机、应用数学或统计学等相关专业本科及以上学历；2.1年以上开发和架构设计经验，具有java和python 开发能力；3,具备BI/数据仓库的实际开发经验，熟悉使用kettle进行异构数据库之间数据同步；4.具备海量数据挖掘及分析相关项目经验，了解挖掘算法（例如逻辑回归、决策树、贝叶斯、神经网络等）；5.了解Hadoop、Spark以及各种nosql等大数据工具和方法；6.有强烈的责任感，主动性强，具有良好的团队合作精神和高度的责任心，能在较大压力下工作。",Python工程师
