jobname,salary,company,joblocation,jobcontabbr
Python开发者,4001-6000,广州铭岩信息科技有限公司,广州,1、技能要求：掌握Python开发、掌握MySql、掌握HTML、掌握jQuery、掌握CSS、掌握JavaScript  2、工作经历要求：有至少6个月工作经验；  3、学历要求：最少大专毕业，计算机相关专业优先；  4、其它要求：诚实、对从事互联网行业充满兴趣、热爱技术、带人友善...
技术经理（Python爬虫）-征信,15001-20000,广州万惠投资管理有限公司,广州 - 天河区,岗位职责：  1、负责高吞吐、高容错的分布式爬虫系统的设计与开发。     任职要求：  1、熟悉Python语言服务端开发，3年以上开发经验； 2、精通DOM结构，能编写算法自动解析HTML/CSS； 3、精通分布式爬虫架构，对爬虫性能及优化有一定经验； 4、精通WebKit、Ph...
Python工程师,面议,广州万惠投资管理有限公司,广州,"工作职责：  根据业务需求，完成大数据的抽取、转换、加载和可视化展示。     任职资格： 1，计算机、应用数学或统计学等相关专业本科及以上学历； 2，1年以上开发和架构设计经验，具有java和python 开发能力；  3,具备BI/数据仓库的实际开发经验，熟悉使用kettle进行..."
Python工程师（爬虫）-征信,面议,广州万惠投资管理有限公司,广州,岗位职责 1.负责设计和开发分布式网络爬虫系统，进行多平台信息的抓取和分析； 2.负责网页信息抽取、数据清洗等研发和优化工作； 3.负责抓取数据的深度提取和挖掘； 4.分析爬虫系统的技术缺陷，对策略架构做出合理地调整和改进。   任职要求 1.1年以上工作经验，熟悉Python/Ja...
技术经理 （Python方向）,面议,广州万惠投资管理有限公司,广州,岗位职责：  负责高吞吐、高容错的分布式爬虫系统的设计与开发。     任职资格：  1.熟悉Python语言服务端开发，3年以上开发经验  2.精通DOM结构，能编写算法自动解析HTML/CSS  3.精通分布式爬虫架构，对爬虫性能及优化有一定经验  4.精通WebKit、Phan...
Python工程师,6001-8000,广州凡拓数字创意科技股份有限公司,广州 - 天河区,岗位职责：  1、根据开发计划，设计软件模块，完成软件模块源代码编写，实现开发需求规定的功能；  2、根据开发需求，完成开发文档，提出模块设计规划；  3、根据开发文档，制定详细的开发计划。     任职要求：  1、大专及以上学历，计算机相关专业，1年以上python开发经验；  ...
Python工程师,10001-15000,广州明雄网络科技有限公司,广州 - 天河区,岗位职责：  1.负责公司 Web 项目以及 REST API 的开发；     2.负责公司公众号相关项目的研发；     3.后台相关数据分析；  任职要求：  1. 精通 Linux 下 Python Web 开发，有 Django 开发经验优先，有 REST API 开发经验...
运维工程师,10001-15000,广东寻蜜鸟网络技术有限公司,广州,...python/PHP等任何一种语言；     6、 有超过100台服务器管理者或互联网公司运维经验优先。
前端开发工程师,4001-6000,广州道本信息科技有限公司,广州,...python其中一名语言优先
手游运维工程师,8001-10000,上海深游网络科技有限公司广州分公司,广州,"教育背景：计算机相关专业，大专以上学历。  工作经验: 1年以上相关工作经验  要求：  1.熟悉unix/linux, 熟悉shell/python/sql脚本编写, 熟悉mysql.  2.有一年以上网络游戏运维经验。   有以下条件优先录取：  1.有运维自动化开发和管理经验。..."
